# Exported from ixmp://ixmp-dev/SSP_SSP2_v5.3.1/baseline_1000f#2
#
node,type_emission,type_tec,year,value,mrg
World,TCE,all,2030,59.200865255697884,0.0
World,TCE,all,2035,75.55697280989408,0.0
World,TCE,all,2040,96.43197131558165,0.0
World,TCE,all,2045,123.07434702560575,0.0
World,TCE,all,2050,157.07751992550735,0.0
World,TCE,all,2055,200.47514256415144,0.0
World,TCE,all,2060,255.8627281941855,0.0
World,TCE,all,2070,366.18793563516033,0.0
World,TCE,all,2080,596.4815607468365,0.0
World,TCE,all,2090,971.6056092723444,0.0
World,TCE,all,2100,1582.6431562905448,0.0
World,TCE,all,2110,2577.9589333877598,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2090,1118.2796311969184,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2100,1272.514331269968,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2110,2443.481322540953,0.0
