# Exported using:
#   mix-models --url="ixmp://ixmp-dev/SSP_SSP2_v6.5/SSP2 - Low Emissions" transport export-price
# at 2026-04-07T19:33:08.711752
#
node,type_emission,type_tec,year,lvl,mrg
R12_AFR,TCE,all,2035,457.4718018905821,0.0
R12_AFR,TCE,all,2040,1044.2424970470915,0.0
R12_AFR,TCE,all,2045,695.5933085573403,0.0
R12_AFR,TCE,all,2050,783.485558888148,0.0
R12_AFR,TCE,all,2055,375.8835799422166,0.0
R12_AFR,TCE,all,2060,352.01143511147194,0.0
R12_AFR,TCE,all,2070,558.7541010289455,0.0
R12_AFR,TCE,all,2080,595.4158550412619,0.0
R12_AFR,TCE,all,2090,659.1544278579487,0.0
R12_AFR,TCE,all,2100,682.859274139953,0.0
R12_AFR,TCE,all,2110,652.2118201954781,0.0
R12_EEU,TCE,all,2035,300.0334677026974,0.0
R12_EEU,TCE,all,2040,366.74658162955154,0.0
R12_EEU,TCE,all,2045,212.21698441945432,0.0
R12_EEU,TCE,all,2050,256.4056702374348,0.0
R12_EEU,TCE,all,2055,1143.849996386085,0.0
R12_EEU,TCE,all,2060,467.8707189112857,0.0
R12_EEU,TCE,all,2070,558.7541010289457,0.0
R12_EEU,TCE,all,2080,669.8040049823541,0.0
R12_EEU,TCE,all,2090,889.0274687223167,0.0
R12_EEU,TCE,all,2100,982.3986012814297,0.0
R12_EEU,TCE,all,2110,930.9318059536477,0.0
R12_GLB,TCE,all,2035,310.5034931815895,0.0
R12_GLB,TCE,all,2040,991.6928453698773,0.0
R12_GLB,TCE,all,2045,760.7612037990809,0.0
R12_GLB,TCE,all,2050,611.7080234700634,0.0
R12_GLB,TCE,all,2055,948.9114976202475,0.0
R12_GLB,TCE,all,2060,2091.890133993212,0.0
R12_GLB,TCE,all,2070,1193.5900053210642,0.0
R12_GLB,TCE,all,2080,971.2704678188609,0.0
R12_GLB,TCE,all,2090,1054.3769427258392,0.0
R12_GLB,TCE,all,2100,1052.4556650577229,0.0
R12_GLB,TCE,all,2110,1683.0420876986182,0.0
R12_LAM,TCE,all,2035,117.59794753271454,0.0
R12_LAM,TCE,all,2040,118.56464338118082,0.0
R12_LAM,TCE,all,2045,179.28964325264167,0.0
R12_LAM,TCE,all,2050,156.97212996773533,0.0
R12_LAM,TCE,all,2055,249.8309221925368,0.0
R12_LAM,TCE,all,2060,351.33416412329206,0.0
R12_LAM,TCE,all,2070,557.6508979554274,0.0
R12_LAM,TCE,all,2080,595.4158550412619,0.0
R12_LAM,TCE,all,2090,656.2273016746739,0.0
R12_LAM,TCE,all,2100,678.0912940281173,0.0
R12_LAM,TCE,all,2110,644.4452830107269,0.0
R12_MEA,TCE,all,2035,309.42983118891175,0.0
R12_MEA,TCE,all,2040,361.3070734143141,0.0
R12_MEA,TCE,all,2045,321.0407879795653,0.0
R12_MEA,TCE,all,2050,237.6450606752094,0.0
R12_MEA,TCE,all,2055,281.4562451715461,0.0
R12_MEA,TCE,all,2060,352.01143511147194,0.0
R12_MEA,TCE,all,2070,558.7541010289457,0.0
R12_MEA,TCE,all,2080,597.2128565999604,0.0
R12_MEA,TCE,all,2090,659.1544278579487,0.0
R12_MEA,TCE,all,2100,682.8592741399534,0.0
R12_MEA,TCE,all,2110,652.3648186916367,0.0
R12_NAM,TCE,all,2035,71.16954123913058,0.0
