BASIN_ID,wet_months,dry_months,r2,r2_primary,r2_secondary,r2_joint,method
1.0,"1,2,3,4","5,6,7,8,9,10,11,12",0.8383458964123076,0.8383458964123076,0.8677447058845316,0.8570899178229054,joint_regime_shift_2step
2.0,"1,2,3,12","4,5,6,7,8,9,10,11",0.8890591876829491,0.8890591876829491,0.8512598838500043,0.8808966783068051,joint_regime_shift_2step
3.0,"8,9,10","1,2,3,4,5,6,7,11,12",0.5163142601540798,0.5163142601540798,0.8976677267508875,0.822337561933331,joint_regime_shift_2step
4.0,"1,2,3,9,10,11,12","4,5,6,7,8",0.8638623958866556,0.8638623958866556,0.7664126218251337,0.901914752947595,joint_regime_shift_2step
5.0,"4,5,6,7,8,9,10,11","1,2,3,12",0.39756759029359323,0.39756759029359323,0.3255844014142065,0.5148526138699159,joint_regime_shift_2step
6.0,"1,2,3","4,5,6,7,8,9,10,11,12",0.8872208438346331,0.8872208438346331,0.9080452419508646,0.9032606278446809,joint_regime_shift_2step
7.0,"6,7,8,9,10","1,2,3,4,5,11,12",0.7949553838618488,0.7949553838618488,0.876969160290616,0.8436098567127909,joint_regime_shift_2step
8.0,"6,7,8,9,10","1,2,3,4,5,11,12",0.852290622855124,0.852290622855124,0.8726974849036309,0.869080486506163,joint_regime_shift_2step
9.0,"1,2,3,4,5,6,12","7,8,9,10,11",0.849376858009381,0.849376858009381,0.8271866569266978,0.8393627771457953,joint_regime_shift_2step
10.0,"2,3,4","1,5,6,7,8,9,10,11,12",0.7661186368733857,0.7661186368733857,0.7700071562263725,0.832786003895376,joint_regime_shift_2step
11.0,"4,5,6,7,8,9,10","1,2,3,11,12",0.3068029540004622,0.3068029540004622,0.5829479940108073,0.7139017105106874,joint_regime_shift_2step
12.0,"6,7,8,9,10","1,2,3,4,5,11,12",0.7834113044095107,0.7834113044095107,0.8592619104474606,0.8343131718830502,joint_regime_shift_2step
13.0,"1,2,3,4,12","5,6,7,8,9,10,11",0.808564511511779,0.808564511511779,0.8966755037137565,0.8703524356826361,joint_regime_shift_2step
14.0,"2,3,4,5","1,6,7,8,9,10,11,12",0.5918781367569541,0.5918781367569541,0.80832641532823,0.7295891963868294,joint_regime_shift_2step
