node_loc,technology,year_vtg,year_act,time,value,unit
R12_AFR,h2_pyro_elec,2030,2030,year,0.9,%
R12_AFR,h2_pyro_elec,2030,2035,year,0.9,%
R12_AFR,h2_pyro_elec,2030,2040,year,0.9,%
R12_AFR,h2_pyro_elec,2030,2045,year,0.9,%
R12_AFR,h2_pyro_elec,2030,2050,year,0.9,%
R12_AFR,h2_pyro_elec,2030,2055,year,0.9,%
R12_AFR,h2_pyro_elec,2035,2035,year,0.9,%
R12_AFR,h2_pyro_elec,2035,2040,year,0.9,%
R12_AFR,h2_pyro_elec,2035,2045,year,0.9,%
R12_AFR,h2_pyro_elec,2035,2050,year,0.9,%
R12_AFR,h2_pyro_elec,2035,2055,year,0.9,%
R12_AFR,h2_pyro_elec,2035,2060,year,0.9,%
R12_AFR,h2_pyro_elec,2040,2040,year,0.9,%
R12_AFR,h2_pyro_elec,2040,2045,year,0.9,%
R12_AFR,h2_pyro_elec,2040,2050,year,0.9,%
R12_AFR,h2_pyro_elec,2040,2055,year,0.9,%
R12_AFR,h2_pyro_elec,2040,2060,year,0.9,%
R12_AFR,h2_pyro_elec,2040,2070,year,0.9,%
R12_AFR,h2_pyro_elec,2045,2045,year,0.9,%
R12_AFR,h2_pyro_elec,2045,2050,year,0.9,%
R12_AFR,h2_pyro_elec,2045,2055,year,0.9,%
R12_AFR,h2_pyro_elec,2045,2060,year,0.9,%
R12_AFR,h2_pyro_elec,2045,2070,year,0.9,%
R12_AFR,h2_pyro_elec,2050,2050,year,0.9,%
R12_AFR,h2_pyro_elec,2050,2055,year,0.9,%
R12_AFR,h2_pyro_elec,2050,2060,year,0.9,%
R12_AFR,h2_pyro_elec,2050,2070,year,0.9,%
R12_AFR,h2_pyro_elec,2050,2080,year,0.9,%
R12_AFR,h2_pyro_elec,2055,2055,year,0.9,%
R12_AFR,h2_pyro_elec,2055,2060,year,0.9,%
R12_AFR,h2_pyro_elec,2055,2070,year,0.9,%
