node_loc,technology,year_vtg,year_act,mode,emission,value,unit
R12_AFR,h2_pyro_elec,2030,2030,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2035,2035,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2040,2040,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2045,2045,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2050,2050,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2055,2055,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2060,2060,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2070,2070,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2080,2080,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2090,2090,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2100,2100,M1,H2_leak,0.001450656,Mt / a
R12_AFR,h2_pyro_elec,2110,2110,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2030,2030,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2035,2035,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2040,2040,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2045,2045,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2050,2050,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2055,2055,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2060,2060,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2070,2070,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2080,2080,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2090,2090,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2100,2100,M1,H2_leak,0.001450656,Mt / a
R12_EEU,h2_pyro_elec,2110,2110,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2030,2030,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2035,2035,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2040,2040,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2045,2045,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2050,2050,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2055,2055,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2060,2060,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2070,2070,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2080,2080,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2090,2090,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2100,2100,M1,H2_leak,0.001450656,Mt / a
R12_LAM,h2_pyro_elec,2110,2110,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2030,2030,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2035,2035,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2040,2040,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2045,2045,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2050,2050,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2055,2055,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2060,2060,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2070,2070,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2080,2080,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2090,2090,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2100,2100,M1,H2_leak,0.001450656,Mt / a
R12_MEA,h2_pyro_elec,2110,2110,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2030,2030,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2035,2035,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2040,2040,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2045,2045,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2050,2050,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2055,2055,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2060,2060,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2070,2070,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2080,2080,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2090,2090,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2100,2100,M1,H2_leak,0.001450656,Mt / a
R12_NAM,h2_pyro_elec,2110,2110,M1,H2_leak,0.001450656,Mt / a
R12_SAS,h2_pyro_elec,2030,2030,M1,H2_leak,0.001450656,Mt / a
R12_SAS,h2_pyro_elec,2035,2035,M1,H2_leak,0.001450656,Mt / a
