node_loc,technology,year_act,time,value,unit
R12_AFR,h2_pyro_elec,2030,year,0.05,-
R12_AFR,h2_pyro_elec,2035,year,0.05,-
R12_AFR,h2_pyro_elec,2040,year,0.05,-
R12_AFR,h2_pyro_elec,2045,year,0.05,-
R12_AFR,h2_pyro_elec,2050,year,0.05,-
R12_AFR,h2_pyro_elec,2055,year,0.05,-
R12_AFR,h2_pyro_elec,2060,year,0.05,-
R12_AFR,h2_pyro_elec,2070,year,0.05,-
R12_AFR,h2_pyro_elec,2080,year,0.05,-
R12_AFR,h2_pyro_elec,2090,year,0.05,-
R12_AFR,h2_pyro_elec,2100,year,0.05,-
R12_AFR,h2_pyro_elec,2110,year,0.05,-
R12_CHN,h2_pyro_elec,2030,year,0.05,-
R12_CHN,h2_pyro_elec,2035,year,0.05,-
R12_CHN,h2_pyro_elec,2040,year,0.05,-
R12_CHN,h2_pyro_elec,2045,year,0.05,-
R12_CHN,h2_pyro_elec,2050,year,0.05,-
R12_CHN,h2_pyro_elec,2055,year,0.05,-
R12_CHN,h2_pyro_elec,2060,year,0.05,-
R12_CHN,h2_pyro_elec,2070,year,0.05,-
R12_CHN,h2_pyro_elec,2080,year,0.05,-
R12_CHN,h2_pyro_elec,2090,year,0.05,-
R12_CHN,h2_pyro_elec,2100,year,0.05,-
R12_CHN,h2_pyro_elec,2110,year,0.05,-
R12_EEU,h2_pyro_elec,2030,year,0.05,-
R12_EEU,h2_pyro_elec,2035,year,0.05,-
R12_EEU,h2_pyro_elec,2040,year,0.05,-
R12_EEU,h2_pyro_elec,2045,year,0.05,-
R12_EEU,h2_pyro_elec,2050,year,0.05,-
R12_EEU,h2_pyro_elec,2055,year,0.05,-
R12_EEU,h2_pyro_elec,2060,year,0.05,-
R12_EEU,h2_pyro_elec,2070,year,0.05,-
R12_EEU,h2_pyro_elec,2080,year,0.05,-
R12_EEU,h2_pyro_elec,2090,year,0.05,-
R12_EEU,h2_pyro_elec,2100,year,0.05,-
R12_EEU,h2_pyro_elec,2110,year,0.05,-
R12_FSU,h2_pyro_elec,2030,year,0.05,-
R12_FSU,h2_pyro_elec,2035,year,0.05,-
R12_FSU,h2_pyro_elec,2040,year,0.05,-
R12_FSU,h2_pyro_elec,2045,year,0.05,-
R12_FSU,h2_pyro_elec,2050,year,0.05,-
