iso3,name,lat,lon
AFG,Afghanistan,33.83157582,66.02686034
GBR,United Kingdom,52.16343173,-3.677663352
ALB,Albania,41.13924067,20.06629914
DZA,Algeria,28.16151769,2.67507785
USA,United States,45.66724803,-112.4579238
ATA,Antarctica,-80.50959739,19.96188756
ATG,Antigua & Barbuda,17.28026464,-61.80004898
ARG,Argentina,-35.38509917,-65.16745676
AND,Andorra,42.54547238,1.576280526
AGO,Angola,-12.29859398,17.55009363
ARM,Armenia,40.29465807,44.93905735
NLD,Netherlands,51.56272333,4.327868109
AUS,Australia,-25.73545618,134.484641
AUT,Austria,47.58703508,14.14147121
AZE,Azerbaijan,40.29150468,47.52378469
BHS,"Bahamas, The",24.19894094,-76.5840119
BRB,Barbados,13.17278454,-59.55749565
BLR,Belarus,53.54194042,28.04929948
BEL,Belgium,50.64109243,4.661104881
BLZ,Belize,17.2066413,-88.69653112
BTN,Bhutan,27.39465066,90.43185759
BOL,Bolivia,-16.71298221,-64.66214965
BIH,Bosnia & Herzegovina,44.16857685,17.78596691
BWA,Botswana,-22.18738385,23.81476974
NOR,Norway,68.72768334,15.3491097
COL,Colombia,3.907745144,-73.07734394
COM,Comoros,-11.8898509,43.68263919
BRA,Brazil,-10.77431024,-53.08924072
FRA,France,39.46728809,1.286510875
COD,"Congo, Dem Rep of the",-2.876796608,23.66047838
COG,"Congo, Rep of the",-0.843165105,15.22732248
NZL,New Zealand,-41.79254892,170.7408943
BRN,Brunei,4.521446291,114.74904
BGR,Bulgaria,42.75776895,25.23483347
BFA,Burkina Faso,12.27395049,-1.735448752
BDI,Burundi,-3.36569082,29.89091094
CPV,Cabo Verde,15.94779845,-23.9744547
KHM,Cambodia,12.71149361,104.917786
CMR,Cameroon,5.693583121,12.74411081
CAN,Canada,61.41324474,-98.25277181
CRI,Costa Rica,9.970559903,-84.19818554
CIV,Cote d'Ivoire,7.62236629,-5.552654014
HRV,Croatia,45.04212309,16.40610284
CUB,Cuba,21.61979837,-79.02242956
CAF,Central African Rep,6.577793653,20.4847809
TCD,Chad,15.37192478,18.66606091
CHL,Chile,-37.81132257,-71.36086844
CHN,China,36.5711027,103.9099858
CYP,Cyprus,35.05739478,33.22447827
CZE,Czechia,49.73906714,15.33186611
DNK,Denmark,56.19394324,9.406400385
DJI,Djibouti,11.73464131,42.57965382
DMA,Dominica,15.43205289,-61.3590672
DOM,Dominican Republic,18.89437107,-70.49590839
ECU,Ecuador,-1.424404474,-78.7672689
EGY,Egypt,26.5659122,29.78163572
SLV,El Salvador,13.73584977,-88.86907147
GNQ,Equatorial Guinea,1.705795371,10.3345644
ERI,Eritrea,15.38237297,38.83089532
EST,Estonia,58.67109555,25.54894367
ETH,Ethiopia,8.632972555,39.63232016
FJI,Fiji,-17.4476242,163.575862
FIN,Finland,64.48701596,26.2426751
GAB,Gabon,-0.606116745,11.78934346
GMB,"Gambia, The",13.45093253,-15.37244811
MAR,Morocco,31.842348,-6.281701764
MOZ,Mozambique,-17.25928162,35.55223384
NAM,Namibia,-22.13878824,17.22265125
GEO,Georgia,42.18134547,43.50512873
DEU,Germany,51.10839763,10.39225474
GHA,Ghana,7.965023659,-1.205942233
GRC,Greece,39.04495503,22.98093298
GRL,Greenland,74.71709048,-41.4543353
GRD,Grenada,12.14907638,-61.66394603
NRU,Nauru,-0.519688075,166.9300088
GTM,Guatemala,15.69745738,-90.36558668
NPL,Nepal,28.25857919,83.9452311
GIN,Guinea,10.44024745,-10.92797336
GNB,Guinea-Bissau,12.01892269,-14.96925723
GUY,Guyana,4.786779943,-58.97528102
HTI,Haiti,18.93659935,-72.68824455
JOR,Jordan,31.2496922,36.78779006
HND,Honduras,14.82104188,-86.61687678
HUN,Hungary,47.16514763,19.41216375
ISL,Iceland,64.99049606,-18.58405399
IDN,Indonesia,-2.228945146,117.282391
IRN,Iran,32.56246635,54.30346717
IRQ,Iraq,33.05014032,43.76589373
IRL,Ireland,53.17933994,-8.14815322
KAZ,Kazakhstan,48.16020351,67.26446691
KEN,Kenya,0.557935631,37.84540676
KIR,Kiribati,0.770036635,-57.93686699
PRK,"Korea, North",40.14598142,127.1776666
KOR,"Korea, South",36.37619295,127.8092248
XKX,Kosovo,42.58139052,20.88934056
SRB,Serbia,44.23020843,20.7943445
SYC,Seychelles,-6.837791165,51.60924401
SLE,Sierra Leone,8.560598518,-11.78800075
SGP,Singapore,1.357065782,103.818476
ITA,Italy,42.78684265,12.07739799
JAM,Jamaica,18.15755542,-77.3124411
JPN,Japan,37.65802747,138.1111495
KGZ,Kyrgyzstan,41.46476796,74.52959166
LAO,Laos,18.49688685,103.7672806
LVA,Latvia,56.85404304,24.92701276
LBN,Lebanon,33.92141771,35.8939323
LSO,Lesotho,-29.58331841,28.24654546
LBR,Liberia,6.448360095,-9.30914819
LBY,Libya,27.03792431,18.02626271
LIE,Liechtenstein,47.14166174,9.553035808
LTU,Lithuania,55.33700451,23.89993073
LUX,Luxembourg,49.77680969,6.092667148
MCO,Monaco,43.73664162,7.423192655
MNG,Mongolia,46.83642031,103.0697642
MNE,Montenegro,42.78631343,19.25138582
MKD,Macedonia,41.60046322,21.70083049
MDG,Madagascar,-19.38340473,46.69788636
MWI,Malawi,-13.21101377,34.30300671
MYS,Malaysia,3.791844263,109.7202058
MDV,Maldives,3.762264874,73.21968132
MLI,Mali,17.36139433,-3.512208603
MLT,Malta,35.92386903,14.39919623
MHL,Marshall Is,8.440153368,169.1441421
MRT,Mauritania,20.25944994,-10.33313878
MUS,Mauritius,-20.12281773,57.89498622
MEX,Mexico,23.94040756,-102.5391153
FSM,"Micronesia, Fed States of",7.06993513,155.1319808
MDA,Moldova,47.20236362,28.46507898
NIC,Nicaragua,12.84452449,-85.04044252
OMN,Oman,20.59694946,56.10557914
PAK,Pakistan,29.95045766,69.3707912
PLW,Palau,7.421841653,134.5121853
PAN,Panama,8.510333366,-80.10937442
PNG,Papua New Guinea,-6.476030153,145.2509341
PRY,Paraguay,-23.23441419,-58.39435216
PER,Peru,-9.171987634,-74.35779358
PHL,Philippines,11.75515921,122.8757373
POL,Poland,52.12428857,19.40146149
PRT,Portugal,39.59675076,-8.530911997
ROU,Romania,45.84201315,24.97358554
RUS,Russia,61.98755888,96.68603864
RWA,Rwanda,-2.000178709,29.92536763
WSM,Samoa,-13.74377077,-172.1918717
SMR,San Marino,43.93838176,12.46335442
TON,Tonga,-19.98967321,-174.8784369
TTO,Trinidad & Tobago,10.47078087,-61.26133081
TUN,Tunisia,34.10792637,9.576990903
TKM,Turkmenistan,39.19487673,59.18050915
STP,Sao Tome & Principe,0.432619698,6.713201336
SAU,Saudi Arabia,24.12356424,44.54877535
SEN,Senegal,14.36297611,-14.4659916
SVK,Slovakia,48.70742324,19.48497032
SVN,Slovenia,46.11938156,14.82178133
SLB,Solomon Is,-8.910882668,159.6105924
SOM,Somalia,6.061600577,45.86711069
ZAF,South Africa,-29.00248584,25.0926043
SSD,South Sudan,7.33222934,30.20230004
ESP,Spain,40.22892769,-3.646951323
LKA,Sri Lanka,7.614317526,80.70234363
KNA,St Kitts & Nevis,17.27028402,-62.70403631
LCA,St Lucia,13.89629695,-60.96784098
VCT,St Vincent & the Grenadines,13.21238258,-61.20402651
SDN,Sudan,16.13148488,30.05150805
SUR,Suriname,4.138889071,-55.90665327
SWZ,Swaziland,-26.56569482,31.49775402
SWE,Sweden,62.77587519,16.7539545
CHE,Switzerland,46.8001007,8.22908888
SYR,Syria,35.01704819,38.49709777
TWN,Taiwan,23.7515133,120.9570865
TJK,Tajikistan,38.52713673,71.00818332
TZA,Tanzania,-6.263289085,34.81979826
THA,Thailand,15.12725253,101.015096
TLS,Timor-Leste,-8.820739521,125.8525501
TGO,Togo,8.532878459,0.977279989
TUV,Tuvalu,-7.36514444,178.0382544
UGA,Uganda,1.278323606,32.39178741
URY,Uruguay,-32.79627655,-56.01806857
UZB,Uzbekistan,41.77444027,63.12413696
VUT,Vanuatu,-16.19358886,167.695796
VAT,Vatican City,41.90338976,12.45298929
VEN,Venezuela,7.128660412,-66.1522794
VNM,Vietnam,16.65286027,106.3041079
ZMB,Zambia,-13.45661247,27.7957629
ZWE,Zimbabwe,-18.9999994,29.87216281
YEM,Yemen,15.90566773,47.59472271
UKR,Ukraine,49.01847176,31.39358872
BHR,Bahrain,26.05202416,50.56477084
KWT,Kuwait,29.35444961,47.61353438
QAT,Qatar,25.28058633,51.19323861
ARE,United Arab Emirates,23.91185318,54.33066634
