StartISO,EndISO,Interregional,EXPORTER,IMPORTER,CapacityBOEd
SRB,MKD,0,R12_EEU,R12_EEU,24652.4
SVK,TUR,1,R12_EEU,R12_WEU,322356.16
SVK,UKR,1,R12_EEU,R12_FSU,161178.08
SVN,ITA,1,R12_EEU,R12_WEU,74510.22
SVN,SVN,0,R12_EEU,R12_EEU,85570.33
THA,THA,0,R12_PAS,R12_PAS,2553222.0
TKM,AZE,0,R12_FSU,R12_FSU,483534.25
TKM,CHN,1,R12_FSU,R12_CHN,1370013.7
TKM,IND,1,R12_FSU,R12_SAS,531887.67
TKM,IRN,1,R12_FSU,R12_MEA,644712.33
TKM,KAZ,0,R12_FSU,R12_FSU,60925.32
TKM,RUS,0,R12_FSU,R12_FSU,3394410.4
TKM,TKM,0,R12_FSU,R12_FSU,1365984.25
TTO,TTO,0,R12_LAM,R12_LAM,644729.74
TTO,VEN,0,R12_LAM,R12_LAM,49417.2
TUN,TUN,0,R12_MEA,R12_MEA,58830.0
TUR,AUT,0,R12_WEU,R12_WEU,435180.82
TUR,AZE,1,R12_WEU,R12_FSU,11766.0
TUR,CYP,0,R12_WEU,R12_WEU,49965.21
TUR,GEO,1,R12_WEU,R12_FSU,80589.04
TUR,GRC,0,R12_WEU,R12_WEU,177295.89
TUR,HUN,1,R12_WEU,R12_EEU,499652.05
TUR,ITA,0,R12_WEU,R12_WEU,322356.16
TUR,ROU,1,R12_WEU,R12_EEU,435180.82
TWN,TWN,0,R12_PAS,R12_PAS,293702.89
TZA,TZA,0,R12_AFR,R12_AFR,147850.27
UKR,MDA,0,R12_FSU,R12_FSU,20953.15
UKR,ROU,1,R12_FSU,R12_EEU,77534.72
UKR,RUS,0,R12_FSU,R12_FSU,105491.05
UKR,SVK,1,R12_FSU,R12_EEU,1163434.08
UKR,UKR,0,R12_FSU,R12_FSU,1656910.69
UNK,MKD,1,,R12_EEU,25612.89
USA,CAN,0,R12_NAM,R12_NAM,1944566.82
USA,MEX,1,R12_NAM,R12_LAM,1391753.07
USA,USA,0,R12_NAM,R12_NAM,68750371.46
UZB,KAZ,0,R12_FSU,R12_FSU,262720.28
UZB,KGZ,0,R12_FSU,R12_FSU,62859.45
UZB,RUS,0,R12_FSU,R12_FSU,676947.94
UZB,UZB,0,R12_FSU,R12_FSU,929594.59
VEN,COL,0,R12_LAM,R12_LAM,80589.04
VEN,VEN,0,R12_LAM,R12_LAM,735702.19
VNM,VNM,0,R12_RCPA,R12_RCPA,1370271.58
ZAF,ZAF,0,R12_AFR,R12_AFR,9831.86
