node_loc,technology,year_vtg,year_act,time,value,unit
R12_AFR,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_RCPA,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_CHN,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_EEU,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_FSU,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_LAM,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_MEA,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_NAM,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_PAO,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_PAS,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_SAS,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_WEU,energy_bulk_carrier,broadcast,broadcast,year,1,%
R12_AFR,bunker_global_foil,broadcast,broadcast,year,1,%
R12_RCPA,bunker_global_foil,broadcast,broadcast,year,1,%
R12_CHN,bunker_global_foil,broadcast,broadcast,year,1,%
R12_EEU,bunker_global_foil,broadcast,broadcast,year,1,%
R12_FSU,bunker_global_foil,broadcast,broadcast,year,1,%
R12_LAM,bunker_global_foil,broadcast,broadcast,year,1,%
R12_MEA,bunker_global_foil,broadcast,broadcast,year,1,%
R12_NAM,bunker_global_foil,broadcast,broadcast,year,1,%
R12_PAO,bunker_global_foil,broadcast,broadcast,year,1,%
R12_PAS,bunker_global_foil,broadcast,broadcast,year,1,%
R12_SAS,bunker_global_foil,broadcast,broadcast,year,1,%
R12_WEU,bunker_global_foil,broadcast,broadcast,year,1,%
