node,2025s,2050s,2070s
R12_AFR,0.9920363835519884,0.9880545753279826,0.976109150655965
R12_RCPA,0.9840734750891041,0.9761102126336563,0.9522204252673127
R12_CHN,0.9327148984251906,0.899072347637786,0.798144695275572
R12_EEU,0.952128719405127,0.9281930791076904,0.8563861582153808
R12_FSU,0.9681010972471156,0.9521516458706734,0.9043032917413467
R12_LAM,0.9430458916686669,0.9145688375030003,0.8291376750060006
R12_MEA,0.9840734750891041,0.9761102126336563,0.9522204252673127
R12_NAM,0.9558238864771338,0.9337358297157007,0.8674716594314014
R12_PAO,0.9327148984251906,0.899072347637786,0.798144695275572
R12_PAS,0.9840734750891041,0.9761102126336563,0.9522204252673127
R12_SAS,0.9840734750891041,0.9761102126336563,0.9522204252673127
R12_WEU,0.952128719405127,0.9281930791076904,0.8563861582153808
