"utype","cooling","AFG","ALB","AND","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BEL","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BWA","CAN","CHE","CHL","CHN","CIV","COL","CRI","CUB","CYP","CZE","DEU","DNK","DOM","DZA","ECU","EGY","ESP","EST","ETH","FIN","FJI","FRA","GBR","GEO","GHA","GIN","GLP","GRC","GTM","GUM","GUY","HND","HRV","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KOR","KWT","LAO","LBN","LBY","LKA","LTU","LUX","LVA","MAR","MCO","MDA","MEX","MKD","MLT","MMR","MNE","MNG","MOZ","MTQ","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLV","SRB","SUR","SVK","SVN","SWE","SWZ","SYR","TGO","THA","TJK","TKM","TTO","TUN","TUR","TWN","TZA","UGA","UKR","URY","USA","UZB","VEN","VNM","WSM","YEM","ZAF","ZMB","ZWE"
"bio_ppl","air",0,0,0,0,0,0,0,0.0391811147027133,0.0665913961151179,0,0.0211372679045093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187199788974783,0,0,0,0,0,0,0,0,0,0.229163339827324,0.0828665663220405,0,0,0,0,0.147677470395439,0.408695652173913,0,0.00811344065202559,0,0.0756985079824077,0.0974845183398128,0,0,0,0,0,0,0,0,0,0.733333333333333,0,0,0.0579483664579035,0,0,0,0,0,0.0448525574112735,0,0,0.0560158711634963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681578980738261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321014651213645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144980065241029,0,0,0,0,0,0,0,0
"bio_ppl","cl_fresh",1,1,1,1,1,1,1,0.771280242922911,0.928039816585636,1,0.24941976127321,1,1,1,1,1,1,1,1,1,0.940299413004899,1,1,1,0.61645315963462,1,0.680437424058323,1,1,1,0.679728711379051,0,1,1,0.732085635506159,0.0502216629243056,0,1,0.946428571428571,1,0.630982130523778,0.556521739130435,1,0.464601427227969,0,0.924301492017592,0.862808672802987,1,0.924058323207776,1,1,1,1,1,0,1,0.266666666666667,1,0.967444551591128,0.920667482643862,0.341758820431806,1,1,1,1,0.86598599512874,0.8828125,1,0.695763799743261,1,0.92296918767507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.920829704694799,1,1,1,1,1,1,0,0.409432672590567,1,0.730918376998014,1,1,1,1,1,1,0,1,0.856666169776055,1,0.961195508586526,1,1,0.47176568095454,1,0.781476997578692,1,0.268015876035049,1,1,1,0.186335403726708,1,1,0.9103480064531,1,0,1,1,1,1,1,0.431261753772141,1,1,1,0.991468518834499,1,1,0,1,1,1,1,1,1,1,0.852224719101124,1,1,1,0,1,0.673312188491164,1,1
"bio_ppl","ot_fresh",0,0,0,0,0,0,0,0.0260554412773043,0,0,0.729442970822281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320366911586391,0,0,0,0,0,0.0866616428033158,0,0,0,0.00117104744871344,0,0,0,0,0,0.0753456481609383,0,0,0.213346609872582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658241179568194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00780289416438097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218523002421308,0,0,0,0,0,0.745341614906832,0,0,0.0896519935469002,0,0,0,0,0,0,0,0.189831620380494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472248399178446,0,0,0,0,0,0.00770276393294064,0,0
"bio_ppl","ot_saline",0,0,0,0,0,0,0,0.163483201097071,0.00536878729924653,0,0,0,0,0,0,0,0,0,0,0,0.0597005869951008,0,0,0,0.044459949881511,0,0.319562575941677,0,0,0,0.233609645817634,1,0,0,0.0375799772178042,0.866911770753654,1,0,0.0535714285714286,0,0.145994750919845,0.0347826086956522,0,0.313938522247423,1,0,0.0397068088571999,0,0.0759416767922236,0,0,0,0,0,1,0,0,0,0.0325554484088717,0.0213841508982341,0,0,0,0,0,0.0891614474599861,0.1171875,0,0.248220329093243,0,0.07703081232493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791702953052015,0,0,0,0,0,0,1,0.590567327409433,0,0.261278728837605,0,0,0,0,0,0,1,0,0.143333830223945,0,0.0388044914134742,0,0,0.528234319045459,0,0,0,0.663826225891125,0,0,0,0.0683229813664596,0,0,0,0,1,0,0,0,0,0,0.346805160726,0,0,0,0.0085314811655007,0,0,1,0,0,0,0,0,0,0,0.0860524344569288,0,0,0,1,0,0.318985047575895,0,0
"coal_adv","air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993886189057846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103461963470861,0,0,0,0,0,0,0,0
"coal_adv","cl_fresh",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.380623922244866,1,1,1,1,1,1,0.815314747066986,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.377358490566038,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.46875,1,1,1,1,1,1,1,1,1,1,0.130434782608696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.745623874377998,1,1,1,1,1,1,1,1
"coal_adv","ot_fresh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153315566703245,0,0,0,0,0,0,0.140027753248392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21927476191762,0,0,0,0,0,0,0,0
"coal_adv","ot_saline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366671892146104,0,0,0,0,0,0,0.0446574996846222,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622641509433962,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53125,0,0,0,0,0,0,0,0,0,0,0.869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0247551673572963,0,0,0,0,0,0,0,0
"coal_ppl","air",0,0,0,0,0,0,0,0.54132501751834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919601679398327,0,0,0,0,0,0,0,0,0,0,0,0.274599542334096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136464614408124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868305487456983,0,0,0,0,0,0,0,0
"coal_ppl","cl_fresh",1,1,1,1,0.69249692496925,1,1,0.453318189516892,0.282416934960335,1,1,1,0.64040833074916,1,1,1,1,1,1,1,0.971872834713569,1,1,1,0.379746835443038,1,0.509671304180188,0.666079536249623,1,1,1,1,1,0.833892207590327,0.89539072572108,0.00415405990591654,1,1,1,0.450800915331808,0.524198914634687,1,1,0.0975041818734793,1,0.417268190895229,0.851658035558282,1,1,1,1,1,1,1,1,1,0.910714285714286,0.9935504675911,0.250220034631538,0.964846406137921,0,1,1,1,0,0.00885502307588431,1,1,0.205978777899744,0.347826086956522,1,1,1,1,1,1,1,1,0,1,1,1,0.981851762403273,1,1,0.135909147018887,0.615384615384615,1,0,1,1,1,1,1,1,0.349983386864548,1,1,1,0,1,0.984728049617592,0.107142857142857,1,0.576283286927964,1,1,1,1,0.24118289875429,1,0.787051729609648,0.328661519753401,0.334949885125778,1,1,1,0.432506688742516,1,1,1,1,0,1,1,1,1,1,0.137089325768571,1,1,1,0.625978090766823,1,1,1,0.652406417112299,0.674547129260055,0.0908697941636474,1,1,0.754718489501951,1,0.796259856757476,0.988700564971751,1,0.423076923076923,1,1,0.992952783650458,1,1
