utype,cooling,investment_million_USD_per_MW_low,investment_million_USD_per_MW_mid,investment_million_USD_per_MW_high,mix_R11_AFR,mix_R11_CPA,mix_R11_EEU,mix_R11_FSU,mix_R11_LAM,mix_R11_MEA,mix_R11_NAM,mix_R11_PAO,mix_R11_PAS,mix_R11_SAS,mix_R11_WEU,utype_pl
csp_sm3_res1,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm3_res1,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res1,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res2,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm3_res2,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm3_res2,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res2,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res3,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm3_res3,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm3_res3,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res3,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res4,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm3_res4,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm3_res4,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res4,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res5,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm3_res5,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm3_res5,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res5,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res6,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm3_res6,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm3_res6,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm3_res6,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
