Region,2070s rcp 2.6,2070s rcp 8.5,2070s rcp 6.0,2070s rcp 7.0
North America,-4.428107311621454,-22.088056761433098,-13.252834056859859,-15.461639733003167
South America,-11.96233640278057,-28.477054165666573,-17.086232499399944,-19.9339379159666
Europe,-1.944101854378746,-23.93564029743653,-14.361384178461918,-16.754948208205573
Africa,-5.12390347047606,-3.981808224005833,-2.3890849344035,-2.787265756804083
Asia,0.5619761422406326,-7.963262455447897,-4.777957473268738,-5.574283718813527
Australia,-21.204662718717103,-33.642550787404666,-20.1855304724428,-23.549785551183266
Global,-4.469472360219836,-14.917196668144461,-8.950318000886677,-10.442037667701122
