node,2025s,2050s,2070s
R12_AFR,0.9907091141439864,0.9860636712159796,0.9721273424319592
R12_RCPA,0.9814190542706216,0.9721285814059324,0.9442571628118648
R12_CHN,0.9215007148293891,0.8822510722440837,0.7645021444881673
R12_EEU,0.9441501726393148,0.9162252589589721,0.8324505179179442
R12_FSU,0.9627846134549681,0.9441769201824523,0.8883538403649045
R12_LAM,0.9335535402801113,0.900330310420167,0.800660620840334
R12_MEA,0.9814190542706216,0.9721285814059324,0.9442571628118648
R12_NAM,0.9484612008899894,0.9226918013349842,0.8453836026699684
R12_PAO,0.9215007148293891,0.8822510722440837,0.7645021444881673
R12_PAS,0.9814190542706216,0.9721285814059324,0.9442571628118648
R12_SAS,0.9814190542706216,0.9721285814059324,0.9442571628118648
R12_WEU,0.9441501726393148,0.9162252589589721,0.8324505179179442
