node,2025s,2050s,2070s
R11_AFR,0.9907091141439864,0.9860636712159796,0.9721273424319592
R11_CPA,0.9814190542706216,0.9721285814059324,0.9442571628118648
R11_EEU,0.9441501726393148,0.9162252589589721,0.8324505179179442
R11_FSU,0.9627846134549681,0.9441769201824523,0.8883538403649045
R11_LAM,0.9335535402801113,0.900330310420167,0.800660620840334
R11_MEA,0.9814190542706216,0.9721285814059324,0.9442571628118648
R11_NAM,0.9484612008899894,0.9226918013349842,0.8453836026699684
R11_PAO,0.9215007148293891,0.8822510722440837,0.7645021444881673
R11_PAS,0.9814190542706216,0.9721285814059324,0.9442571628118648
R11_SAS,0.9814190542706216,0.9721285814059324,0.9442571628118648
R11_WEU,0.9441501726393148,0.9162252589589721,0.8324505179179442
