node,2025s,2050s,2070s
R11_AFR,0.9829203217650798,0.9743804826476197,0.9487609652952393
R11_CPA,1.0,1.0,1.0
R11_EEU,0.9935196604854042,0.9902794907281063,0.9805589814562126
R11_FSU,0.9976964571464365,0.9965446857196547,0.9930893714393094
R11_LAM,0.9601255453240648,0.9401883179860971,0.8803766359721943
R11_MEA,1.0,1.0,1.0
R11_NAM,0.9852396422945952,0.9778594634418927,0.9557189268837855
R11_PAO,0.9293177909376097,0.8939766864064145,0.787953372812829
R11_PAS,1.0,1.0,1.0
R11_SAS,1.0,1.0,1.0
R11_WEU,0.9935196604854042,0.9902794907281063,0.9805589814562126
