utype,cooling,investment_million_USD_per_MW_low,investment_million_USD_per_MW_mid,investment_million_USD_per_MW_high,mix_AFG,mix_ALB,mix_AND,mix_ARE,mix_ARG,mix_ARM,mix_ATG,mix_AUS,mix_AUT,mix_AZE,mix_BEL,mix_BGD,mix_BGR,mix_BHR,mix_BHS,mix_BIH,mix_BLR,mix_BLZ,mix_BMU,mix_BOL,mix_BRA,mix_BRB,mix_BRN,mix_BWA,mix_CAN,mix_CHE,mix_CHL,mix_CHN,mix_CIV,mix_COL,mix_CRI,mix_CUB,mix_CYP,mix_CZE,mix_DEU,mix_DNK,mix_DOM,mix_DZA,mix_ECU,mix_EGY,mix_ESP,mix_EST,mix_ETH,mix_FIN,mix_FJI,mix_FRA,mix_GBR,mix_GEO,mix_GHA,mix_GIN,mix_GLP,mix_GRC,mix_GTM,mix_GUM,mix_GUY,mix_HND,mix_HRV,mix_HUN,mix_IDN,mix_IND,mix_IRL,mix_IRN,mix_IRQ,mix_ISL,mix_ISR,mix_ITA,mix_JAM,mix_JOR,mix_JPN,mix_KAZ,mix_KEN,mix_KGZ,mix_KHM,mix_KOR,mix_KWT,mix_LAO,mix_LBN,mix_LBY,mix_LKA,mix_LTU,mix_LUX,mix_LVA,mix_MAR,mix_MCO,mix_MDA,mix_MEX,mix_MKD,mix_MLT,mix_MMR,mix_MNE,mix_MNG,mix_MOZ,mix_MTQ,mix_MUS,mix_MWI,mix_MYS,mix_NAM,mix_NCL,mix_NER,mix_NGA,mix_NIC,mix_NLD,mix_NOR,mix_NPL,mix_NZL,mix_OMN,mix_PAK,mix_PAN,mix_PER,mix_PHL,mix_PNG,mix_POL,mix_PRK,mix_PRT,mix_QAT,mix_REU,mix_ROU,mix_RUS,mix_RWA,mix_SAU,mix_SDN,mix_SEN,mix_SGP,mix_SLV,mix_SRB,mix_SUR,mix_SVK,mix_SVN,mix_SWE,mix_SWZ,mix_SYR,mix_TGO,mix_THA,mix_TJK,mix_TKM,mix_TTO,mix_TUN,mix_TUR,mix_TWN,mix_TZA,mix_UGA,mix_UKR,mix_URY,mix_USA,mix_UZB,mix_VEN,mix_VNM,mix_WSM,mix_YEM,mix_ZAF,mix_ZMB,mix_ZWE,utype_pl
bio_hpl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0.026055441,0,0,0.729442971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320366912,0,0,0,0,0,0.086661643,0,0,0,0.001171047,0,0,0,0,0,0.075345648,0,0,0.21334661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65824118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007802894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218523002,0,0,0,0,0,0.745341615,0,0,0.089651994,0,0,0,0,0,0,0,0.18983162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04722484,0,0,0,0,0,0.007702764,0,0,0
bio_hpl,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,1,0.771280243,0.928039817,1,0.249419761,1,1,1,1,1,1,1,1,1,0.940299413,1,1,1,0.61645316,1,0.680437424,1,1,1,0.679728711,0,1,1,0.732085636,0.050221663,0,1,0.946428571,1,0.630982131,0.556521739,1,0.464601427,0,0.924301492,0.862808673,1,0.924058323,1,1,1,1,1,0,1,0.266666667,1,0.967444552,0.920667483,0.34175882,1,1,1,1,0.865985995,0.8828125,1,0.6957638,1,0.922969188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.920829705,1,1,1,1,1,1,0,0.409432673,1,0.730918377,1,1,1,1,1,1,0,1,0.85666617,1,0.961195509,1,1,0.471765681,1,0.781476998,1,0.268015876,1,1,1,0.186335404,1,1,0.910348006,1,0,1,1,1,1,1,0.431261754,1,1,1,0.991468519,1,1,0,1,1,1,1,1,1,1,0.852224719,1,1,1,0,1,0.673312188,1,1,0
bio_hpl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0.163483201,0.005368787,0,0,0,0,0,0,0,0,0,0,0,0.059700587,0,0,0,0.04445995,0,0.319562576,0,0,0,0.233609646,1,0,0,0.037579977,0.866911771,1,0,0.053571429,0,0.145994751,0.034782609,0,0.313938522,1,0,0.039706809,0,0.075941677,0,0,0,0,0,1,0,0,0,0.032555448,0.021384151,0,0,0,0,0,0.089161447,0.1171875,0,0.248220329,0,0.077030812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079170295,0,0,0,0,0,0,1,0.590567327,0,0.261278729,0,0,0,0,0,0,1,0,0.14333383,0,0.038804491,0,0,0.528234319,0,0,0,0.663826226,0,0,0,0.068322981,0,0,0,0,1,0,0,0,0,0,0.346805161,0,0,0,0.008531481,0,0,1,0,0,0,0,0,0,0,0.086052434,0,0,0,1,0,0.318985048,0,0,0
bio_hpl,air,0.16,0.22,0.35,0,0,0,0,0,0,0,0.039181115,0.066591396,0,0.021137268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018719979,0,0,0,0,0,0,0,0,0,0.22916334,0.082866566,0,0,0,0,0.14767747,0.408695652,0,0.008113441,0,0.075698508,0.097484518,0,0,0,0,0,0,0,0,0,0.733333333,0,0,0.057948366,0,0,0,0,0,0.044852557,0,0,0.056015871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068157898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032101465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014498007,0,0,0,0,0,0,0,0,0
bio_istig,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0.026055441,0,0,0.729442971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320366912,0,0,0,0,0,0.086661643,0,0,0,0.001171047,0,0,0,0,0,0.075345648,0,0,0.21334661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65824118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007802894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218523002,0,0,0,0,0,0.745341615,0,0,0.089651994,0,0,0,0,0,0,0,0.18983162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04722484,0,0,0,0,0,0.007702764,0,0,0
bio_istig,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,1,0.771280243,0.928039817,1,0.249419761,1,1,1,1,1,1,1,1,1,0.940299413,1,1,1,0.61645316,1,0.680437424,1,1,1,0.679728711,0,1,1,0.732085636,0.050221663,0,1,0.946428571,1,0.630982131,0.556521739,1,0.464601427,0,0.924301492,0.862808673,1,0.924058323,1,1,1,1,1,0,1,0.266666667,1,0.967444552,0.920667483,0.34175882,1,1,1,1,0.865985995,0.8828125,1,0.6957638,1,0.922969188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.920829705,1,1,1,1,1,1,0,0.409432673,1,0.730918377,1,1,1,1,1,1,0,1,0.85666617,1,0.961195509,1,1,0.471765681,1,0.781476998,1,0.268015876,1,1,1,0.186335404,1,1,0.910348006,1,0,1,1,1,1,1,0.431261754,1,1,1,0.991468519,1,1,0,1,1,1,1,1,1,1,0.852224719,1,1,1,0,1,0.673312188,1,1,0
bio_istig,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0.163483201,0.005368787,0,0,0,0,0,0,0,0,0,0,0,0.059700587,0,0,0,0.04445995,0,0.319562576,0,0,0,0.233609646,1,0,0,0.037579977,0.866911771,1,0,0.053571429,0,0.145994751,0.034782609,0,0.313938522,1,0,0.039706809,0,0.075941677,0,0,0,0,0,1,0,0,0,0.032555448,0.021384151,0,0,0,0,0,0.089161447,0.1171875,0,0.248220329,0,0.077030812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079170295,0,0,0,0,0,0,1,0.590567327,0,0.261278729,0,0,0,0,0,0,1,0,0.14333383,0,0.038804491,0,0,0.528234319,0,0,0,0.663826226,0,0,0,0.068322981,0,0,0,0,1,0,0,0,0,0,0.346805161,0,0,0,0.008531481,0,0,1,0,0,0,0,0,0,0,0.086052434,0,0,0,1,0,0.318985048,0,0,0
bio_istig,air,0.16,0.22,0.35,0,0,0,0,0,0,0,0.039181115,0.066591396,0,0.021137268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018719979,0,0,0,0,0,0,0,0,0,0.22916334,0.082866566,0,0,0,0,0.14767747,0.408695652,0,0.008113441,0,0.075698508,0.097484518,0,0,0,0,0,0,0,0,0,0.733333333,0,0,0.057948366,0,0,0,0,0,0.044852557,0,0,0.056015871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068157898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032101465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014498007,0,0,0,0,0,0,0,0,0
bio_istig_ccs,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0.026055441,0,0,0.729442971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320366912,0,0,0,0,0,0.086661643,0,0,0,0.001171047,0,0,0,0,0,0.075345648,0,0,0.21334661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65824118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007802894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218523002,0,0,0,0,0,0.745341615,0,0,0.089651994,0,0,0,0,0,0,0,0.18983162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04722484,0,0,0,0,0,0.007702764,0,0,0
bio_istig_ccs,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,1,0.771280243,0.928039817,1,0.249419761,1,1,1,1,1,1,1,1,1,0.940299413,1,1,1,0.61645316,1,0.680437424,1,1,1,0.679728711,0,1,1,0.732085636,0.050221663,0,1,0.946428571,1,0.630982131,0.556521739,1,0.464601427,0,0.924301492,0.862808673,1,0.924058323,1,1,1,1,1,0,1,0.266666667,1,0.967444552,0.920667483,0.34175882,1,1,1,1,0.865985995,0.8828125,1,0.6957638,1,0.922969188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.920829705,1,1,1,1,1,1,0,0.409432673,1,0.730918377,1,1,1,1,1,1,0,1,0.85666617,1,0.961195509,1,1,0.471765681,1,0.781476998,1,0.268015876,1,1,1,0.186335404,1,1,0.910348006,1,0,1,1,1,1,1,0.431261754,1,1,1,0.991468519,1,1,0,1,1,1,1,1,1,1,0.852224719,1,1,1,0,1,0.673312188,1,1,0
