technology_name,technology_group,output,water_supply_type,water_withdrawal_low_m3_per_output,water_withdrawal_mid_m3_per_output,water_withdrawal_high_m3_per_output,water_consumption_low_m3_per_output,water_consumption_mid_m3_per_output,water_consumption_high_m3_per_output,requires_cooling,emissions_heat_fraction,parasitic_electricity_demand_fraction
EJ2GWyr,extraction,GJ,upstream_landuse,0,0,0,0,0,0,N,0,0
coal_extr,extraction,GJ,freshwater_supply,0.002,0.038,0.073,0.002,0.032,0.061,N,0,0
coal_extr_ch4,extraction,GJ,freshwater_supply,0.002,0.038,0.073,0.002,0.032,0.061,N,0,0
coal[a],resource,GJ,freshwater_supply,0.002,0.038,0.073,0.002,0.032,0.061,N,0,0
coal[b],resource,GJ,freshwater_supply,0.002,0.038,0.073,0.002,0.032,0.061,N,0,0
coal[c],resource,GJ,freshwater_supply,0.002,0.038,0.073,0.002,0.032,0.061,N,0,0
coal[d],resource,GJ,freshwater_supply,0.002,0.038,0.073,0.002,0.032,0.061,N,0,0
coal[e],resource,GJ,freshwater_supply,0.002,0.038,0.073,0.002,0.032,0.061,N,0,0
lignite_extr,extraction,GJ,freshwater_supply,0.007,0.077,0.146,0.006,0.059,0.111,N,0,0
lignite[a],resource,GJ,freshwater_supply,0.007,0.077,0.146,0.006,0.059,0.111,N,0,0
lignite[b],resource,GJ,freshwater_supply,0.007,0.077,0.146,0.006,0.059,0.111,N,0,0
lignite[c],resource,GJ,freshwater_supply,0.007,0.077,0.146,0.006,0.059,0.111,N,0,0
lignite[d],resource,GJ,freshwater_supply,0.007,0.077,0.146,0.006,0.059,0.111,N,0,0
lignite[e],resource,GJ,freshwater_supply,0.007,0.077,0.146,0.006,0.059,0.111,N,0,0
oil_extr_1,extraction,GJ,freshwater_supply,0.026,0.028,0.029,0.024,0.025,0.026,N,0,0
oil_extr_1_ch4,extraction,GJ,freshwater_supply,0.026,0.028,0.029,0.024,0.025,0.026,N,0,0
oil_extr_2,extraction,GJ,freshwater_supply,0.026,0.028,0.029,0.024,0.025,0.026,N,0,0
oil_extr_2_ch4,extraction,GJ,freshwater_supply,0.026,0.028,0.029,0.024,0.025,0.026,N,0,0
oil_extr_3,extraction,GJ,freshwater_supply,0.026,0.028,0.029,0.024,0.025,0.026,N,0,0
oil_extr_3_ch4,extraction,GJ,freshwater_supply,0.026,0.028,0.029,0.024,0.025,0.026,N,0,0
oil_extr_4,extraction,GJ,freshwater_supply,0.094,0.119,0.144,0.078,0.099,0.12,N,0,0
oil_extr_5,extraction,GJ,freshwater_supply,0.094,0.119,0.144,0.078,0.099,0.12,N,0,0
oil_extr_6,extraction,GJ,freshwater_supply,0.094,0.119,0.144,0.078,0.099,0.12,N,0,0
oil_extr_7,extraction,GJ,freshwater_supply,0.094,0.119,0.144,0.078,0.099,0.12,N,0,0
oil_extr_8,extraction,GJ,freshwater_supply,0.094,0.119,0.144,0.078,0.099,0.12,N,0,0
gas_extr_1,extraction,GJ,freshwater_supply,0.001,0.002,0.002,0,0.001,0.001,N,0,0
gas_extr_2,extraction,GJ,freshwater_supply,0.001,0.002,0.002,0,0.001,0.001,N,0,0
gas_extr_3,extraction,GJ,freshwater_supply,0.001,0.002,0.002,0,0.001,0.001,N,0,0
gas_extr_4,extraction,GJ,freshwater_supply,0.003,0.012,0.02,0.002,0.01,0.017,N,0,0
gas_extr_5,extraction,GJ,freshwater_supply,0.003,0.012,0.02,0.002,0.01,0.017,N,0,0
gas_extr_6,extraction,GJ,freshwater_supply,0.003,0.012,0.02,0.002,0.01,0.017,N,0,0
gas_extr_7,extraction,GJ,freshwater_supply,0.003,0.012,0.02,0.002,0.01,0.017,N,0,0
gas_extr_8,extraction,GJ,freshwater_supply,0.003,0.012,0.02,0.002,0.01,0.017,N,0,0
uran2u5,extraction,GJ,freshwater_supply,0.025,0.028,0.03,0.023,0.025,0.027,N,0,0
Uran_extr,extraction,GJ,freshwater_supply,0.025,0.028,0.03,0.023,0.025,0.027,N,0,0
coal_gas,conversion,GJ,freshwater_supply,0.033,0.05,0.067,0.028,0.042,0.056,N,0,0
syn_liq,conversion,GJ,freshwater_supply,0.163,0.326,0.488,0.136,0.272,0.407,N,0,0
syn_liq_ccs,conversion,GJ,freshwater_supply,0.215,0.431,0.646,0.18,0.36,0.539,N,0,0
ref_lol,conversion,GJ,freshwater_supply,0.034,0.06,0.086,0.029,0.051,0.072,N,0,0
ref_hil,conversion,GJ,freshwater_supply,0.072,0.108,0.144,0.06,0.09,0.12,N,0,0
eth_bio,conversion,GJ,freshwater_supply,0.199,0.27,0.341,0.166,0.225,0.284,N,0,0
eth_bio_ccs,conversion,GJ,freshwater_supply,0.264,0.358,0.452,0.22,0.299,0.377,N,0,0
liq_bio,conversion,GJ,freshwater_supply,0.415,0.415,0.415,0.346,0.346,0.346,N,0,0
liq_bio_ccs,conversion,GJ,freshwater_supply,0.55,0.55,0.55,0.458,0.458,0.458,N,0,0
meth_ng,conversion,GJ,freshwater_supply,0.085,0.222,0.358,0.07,0.184,0.298,N,0,0
meth_ng_ccs,conversion,GJ,freshwater_supply,0.112,0.293,0.474,0.093,0.244,0.395,N,0,0
meth_coal,conversion,GJ,freshwater_supply,0.163,0.326,0.488,0.136,0.272,0.407,N,0,0
meth_coal_ccs,conversion,GJ,freshwater_supply,0.215,0.431,0.646,0.18,0.36,0.539,N,0,0
gas_bio,conversion,GJ,freshwater_supply,0.033,0.05,0.067,0.028,0.042,0.056,N,0,0
h2_bio,conversion,GJ,freshwater_supply,0.12,0.24,0.36,0.1,0.2,0.3,N,0,0
h2_bio_ccs,conversion,GJ,freshwater_supply,0.159,0.318,0.477,0.132,0.265,0.397,N,0,0
h2_smr,conversion,GJ,freshwater_supply,0.171,0.171,0.171,0.142,0.142,0.142,N,0,0
h2_smr_ccs,conversion,GJ,freshwater_supply,0.226,0.226,0.226,0.189,0.189,0.189,N,0,0
h2_coal,conversion,GJ,freshwater_supply,0.12,0.24,0.36,0.1,0.2,0.3,N,0,0
h2_coal_ccs,conversion,GJ,freshwater_supply,0.159,0.318,0.477,0.132,0.265,0.397,N,0,0
h2_elec,conversion,GJ,freshwater_supply,0.093,0.093,0.093,0.078,0.078,0.078,N,0,0
cement_co2scr,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
SO2_scrub_BS,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
SO2_scrub_ppl,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
SO2_scrub_ind,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
SO2_scrub_synf,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
SO2_scrub_ref,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
g_ppl_co2scr,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
c_ppl_co2scr,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
igcc_co2scr,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
gfc_co2scr,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
cfc_co2scr,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
h2_co2_scrub,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
bio_ppl_co2scr,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
h2b_co2_scrub,scrubber,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
coal_ppl_u,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.54,0
coal_ppl,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.46,0
coal_adv,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.46,0
coal_adv_ccs,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.21,0
foil_ppl,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.46,0
loil_ppl,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.46,0
loil_cc,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.4,0
gas_ppl,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.46,0
gas_ct,powerplant,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
gas_cc,powerplant,GJ,freshwater_supply,0.006,0.007,0.008,0.006,0.007,0.008,Y,0.44,0
gas_cc_ccs,powerplant,GJ,freshwater_supply,0.014,0.015,0.017,0.014,0.015,0.017,Y,0.14,0
gas_htfc,powerplant,GJ,freshwater_supply,0,0,0,0,0,0,N,0,0
bio_ppl,powerplant,GJ,freshwater_supply,0.056,0.069,0.083,0.056,0.069,0.083,Y,0.54,0
