"utype","cooling","R12_AFR","R12_CHN","R12_EEU","R12_FSU","R12_LAM","R12_MEA","R12_NAM","R12_PAO","R12_PAS","R12_RCPA","R12_SAS","R12_WEU"
"bio_ppl","air",0,0,0.0606513227872451,0,0,0,0.0152795848993595,0.0428804347296437,0,0,0.0528420061647962,0.0598324250286327
"bio_ppl","cl_fresh",0.793096335352478,1,0.853124222056261,0.33418043202033,0.92790759001734,0.949408245545585,0.808578305509787,0.747005435095102,0.887367807885125,1,0.924710333293506,0.510667330936194
"bio_ppl","ot_fresh",0.00213821416353062,0,0.0816982370380429,0.609911054637865,0.00117909632417234,0.0505917544544154,0.0977893433559009,0.0129615859523696,0.000840892446798264,0,0,0.180516268305648
"bio_ppl","ot_saline",0.204765450483991,0,0.00452621811845113,0.0559085133418043,0.0709133136584878,0,0.0783527662349528,0.197152544222885,0.111791299668077,0,0.022447660541698,0.248983975729525
"coal_adv","air",0,0.0993886189057846,0,0,0,0,0.0102158815097279,0,0,0,0,0
"coal_adv","cl_fresh",1,0.380623922244866,1,1,1,1,0.748827852180679,0,0.142857142857143,0.204607789358201,0.377358490566038,0.583128854698587
"coal_adv","ot_fresh",0,0.153315566703245,0,0,0,0,0.216512901038756,0,0,0,0,0.0736123085085218
"coal_adv","ot_saline",0,0.366671892146104,0,0,0,0,0.0244433652708367,1,0.857142857142857,0.795392210641799,0.622641509433962,0.343258836792891
"coal_ppl","air",0,0.0919601679398327,0.00752616523853306,0,0,0.00155118632850178,0.00863261928094671,0.0536728990451624,0,0,0,0
"coal_ppl","cl_fresh",0.983803794539565,0.666079536249623,0.808992927329974,0.560203189723971,0.608016888427387,0.188635538900933,0.793840537544916,0.230844306971576,0.275122385597623,0.336316623788363,0.959918489460326,0.708086934838704
"coal_ppl","ot_fresh",0,0.0512372380860356,0.183393393882208,0.439796810276029,0.00198239592768299,0.00155118632850178,0.172273067989512,0.002354363363024,0,0.0311842207842832,0.000450538131960366,0.0592965674883989
"coal_ppl","ot_saline",0.016196205460435,0.190723057724508,8.75135492852681e-05,0,0.39000071564493,0.808262088442064,0.0252537751846245,0.713128430620237,0.724877614402376,0.632499155427354,0.0396309724077137,0.232616497672897
"coal_ppl_u","air",0.147681681740026,0.0963088881937555,0.0219588764983079,0,0,0,0.000698045722621444,0,0,0,0.00294655643843896,0.0111860536935947
