"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",8085.492,4082.303,4186.825,6670.473,22784.475,10638.147,9524.051,25652.429,8520.187,22899.847,57363.386
"2",18527.661,5751.42,5010.383,10825.648,29939.903,15757.459,9878.83,28085.711,12039.244,27074.995,85038.813
"3",23518.412,7214.049,4631.954,14097.306,28197.39,15844.22,8236.877,24630.776,12889.46,24563.887,85359.033
"4",43547.901,11133.342,4777.966,18484.496,30016.458,17959.326,8176.448,26619.796,15778.207,26160.688,95947.824
"5",48887.911,17368.638,4736.979,19832.801,31282.898,18608.875,8083.997,28593.273,19138.519,26996.589,99801.32
"6",63475.728,27148.681,4668.222,21940.232,32327.509,18539.763,8016.714,30476.87,22406.161,27432.476,85073.218
"7",72779.309,41593.849,4630.51,25002.888,33348.733,18478.822,7938.07,32230.674,25191.457,27762.95,83846.327
"8",75546.468,55491.624,4535.533,27985.371,34536.013,18312.623,7783.317,33536.865,27279.162,27724.169,81314.952
"9",76290.375,68605.791,4411.81,31095.637,35610.31,18145.033,7581.642,34456.327,28589.605,27356.732,81165.257
"10",100690.052,84929.353,4517.374,34190.856,36412.405,18295.999,7702.13799999999,37492.086,33547.345,28754.372,80165.6540000001
"11",109993.633,99374.5209999999,4479.662,37253.512,37433.629,18235.058,7623.49399999999,39245.89,36332.641,29084.846,78938.7630000001
