"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",9501.354,4668.015,5325.274,12105.969,26509.822,12917.003,11016.824,31486.066,9830.056,25496.404,81036.041
"2",22094.873,6525.403,6300.917,18338.857,34532.305,18886.795,11325.434,34432.995,13783.24,29978.075,112821.539
"3",27955.938,8125.291,5770.07,22747.077,32314.281,18821.376,9365.653,30111.019,14649.121,27055.784,114675.946
"4",47672.432,12457.333,5925.689,27931.051,34211.346,21155.314,9227.65,32394,17808.091,28674.124,125470.468
"5",60061.997,19317.713,5841.4,27231.051,35462.805,21738.15,9062.527,34597.575,21457.635,29453.878,129264.486
"6",69437.082,30040.894,5717.919,28089.152,36446.498,21510.997,8933.709,36635.235,24964.407,29855.21,109755.304
"7",79559.172,45822.454,5629.893,30809.799,37395.281,21312.442,8798.662,38482.77,27903.898,30188.889,104394.16
"8",84563.992,60915.476,5469.682,33652.263,38543.693,20985.981,8586.072,39769.395,30053.283,30137.173,102018.045
"9",84732.061,75081.808,5276.325,36688.471,39568.085,20657.894,8328.485,40579.945,31339.007,29737.368,100874.684
"10",109925.442,93167.1339999999,5365.815,38971.74,40241.63,20716.777,8393.52099999999,44025.375,36722.371,31189.926,88310.728
"11",120047.532,108948.694,5277.789,41692.387,41190.413,20518.222,8258.47399999999,45872.91,39661.862,31523.605,82949.584
