"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",18469.781,6602.359,5524.239,17386.979,44074.885,18386.119,13367.823,30129.451,18247.117,47552.224,35484.58
"2",28755.303,13845.146,6104.7,23142.357,50825.379,20755.589,14176.133,33847.87,24254.107,51762.132,50478.878
"3",34101.667,25935.042,5196.29,24061.738,46241.421,18202.988,11720.578,28946.209,24194.816,44905.99,48541.568
"4",44090.356,34723.484,5259.303,28328.779,49492.165,18983.47,11709.793,30158.645,27646.003,46796.074,52060.84
"5",53630.118,43705.404,5185.31,31967.533,51566.247,19295.88,11573.585,30994.714,30254.813,48090.649,52631.73
"6",62417.388,52413.715,5004.822,34620.039,52307.88,19360.806,11386.899,31469.936,31964,48993.307,50697.381
"7",69402.35,61618.254,4776.242,36675.977,52152.601,19193.655,11043.585,31603.495,32792.946,49210.219,47892.259
"8",74466.651,71433.439,4482.498,38144.027,51212.992,18632.593,10604.833,31055.159,32951.099,49025.179,44176.829
"9",76956.896,80271.542,4155.59,38723.783,49604.528,17900.908,10065.888,30222.747,32728.699,48359.528,40242.855
"10",90357.236,89231.871,4090.502,42843.791,51686.764,18692.202,10013.643,32004.172,35279.784,49860.955,39476.893
"11",97342.198,98436.4099999999,3861.922,44899.729,51531.485,18525.051,9670.329,32137.731,36108.73,50077.867,36671.771
