"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",8085.492,4082.303,4186.825,6670.473,22784.475,10638.147,9524.051,25652.429,8520.187,22899.847,57363.386
"2",18527.661,5751.42,5010.383,10825.648,29939.903,15757.459,9878.83,28085.711,12039.244,27074.995,85038.813
"3",29035.077,8906.233,5718.462,17404.082,34811.593,19560.765,10168.984,30408.365,15912.914,30325.787,105381.522
"4",54126.059,13744.867,5898.724,22820.365,37057.356,22172.007,10094.381,32863.946,19479.268,32297.146,118454.103
"5",60355.446,21442.763,5848.122,24484.94,38620.862,22973.92,9980.244,35300.337,23627.801,33329.122,123211.506
"6",79314.018,33516.893,5763.237,27086.706,39910.505,22888.597,9897.178,37625.765,27661.928,33867.254,105028.664
"7",90072.32,51350.433,5716.679,30867.763,41171.275,22813.36,9800.087,39790.955,31100.564,34275.247,103513.984
"8",93267.245,68508.182,5599.423,34549.841,42637.054,22608.177,9609.033,41403.538,33677.978,34227.369,100388.83
"9",94185.648,84698.511,5446.679,38389.675,43963.346,22401.275,9360.052,42538.675,35295.81,33773.743,100204.021
"10",122347.226,104851.053,5577.005,42210.934,44953.585,22587.649,9508.814,46286.525,41416.472,35499.226,98969.9439999999
"11",133105.528,122684.593,5530.447,45991.991,46214.355,22512.412,9411.723,48451.715,44855.108,35907.219,97455.2639999999
