"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",13424.03,5736.065,4820.565,15001.119,36351.788,13047.201,12169.728,26696.01,16008.826,40530.235,30906.808
"2",21167.294,12068.012,5363.295,20066.694,42303.6,14853.277,12964.385,30177.284,21374.783,44485.121,44369.766
"3",24488.278,16474.913,4594.107,20461.992,38456.52,13156.578,10752.534,25939.018,21116.154,38897.417,42804.909
"4",32230.693,24459.016,4677.993,24380.155,41618.146,13878.267,10752.804,27178.941,24308.617,40836.552,46105.039
"5",39844.603,33650.603,4638.163,27842.436,43808.212,14290.037,10629.885,28073.902,26797.171,42261.802,46787.831
"6",46734.589,43509.842,4498.103,30448.368,44830.593,14530.952,10460.169,28623.863,28507.546,43341.379,45232.456
"7",52300.623,53516.595,4311.856,32350.571,45031.734,14590.289,10146.064,28838.763,29436.594,43805.576,42749.556
"8",56397.533,62908.131,4063.399,33738.108,44508.212,14331.51,9745.012,28396.066,29747.351,43897.617,39448.474
"9",58516.296,71004.45,3781.127,34309.911,43359.349,13913.822,9251.602,27668.745,29682.098,43540.072,35955.151
"10",68998.725,83536.854,3753.115,38057.18,45635.157,14768.3,9203.749,29483.463,32223.738,45198.167,35300.856
"11",74564.759,93543.607,3566.868,39959.383,45836.298,14827.637,8889.644,29698.363,33152.786,45662.364,32817.956
