"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"2010",13424.03,5736.065,4820.565,15001.119,36351.788,13047.201,12169.728,26696.01,16008.826,40530.235,30906.808
"2020",21167.294,12068.012,5363.295,20066.694,42303.6,14853.277,12964.385,30177.284,21374.783,44485.121,44369.766
"2030",30232.442,20339.399,5671.737,25261.719,47477.186,16242.689,13274.733,32023.48,26069.326,48021.503,52845.567
"2040",39790.979,30196.317,5775.301,30098.957,51380.428,17133.663,13275.067,33554.248,30010.638,50415.496,56919.801
"2050",49190.868,41543.955,5726.127,34373.378,54084.212,17642.021,13123.315,34659.138,33082.928,52175.064,57762.754
"2060",57697.024,53715.854,5553.213,37590.578,55346.411,17939.447,12913.789,35338.103,35194.501,53507.876,55842.538
"2070",64568.671,66069.871,5323.279,39938.977,55594.733,18012.702,12526.005,35603.411,36341.474,54080.958,52777.23
"2080",69626.584,77664.359,5016.542,41651.985,54948.41,17693.222,12030.879,35056.872,36725.125,54194.589,48701.82
"2090",72242.341,87659.815,4668.059,42357.915,53530.061,17177.559,11421.73,34158.944,36644.565,53753.175,44389.075
