"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"2010",0.002,0.099,0.598,0.415,0.353,0.155,0.898,0.867,0.224,0.67,0.16
"2020",0.035,0.087,0.666,0.379,0.403,0.34,0.897,0.867,0.25,0.761,0.346
"2030",0.13,0.097,0.763,0.434,0.545,0.515,0.898,0.879,0.357,0.816,0.595
"2040",0.327,0.123,0.822,0.546,0.676,0.652,0.898,0.887,0.52,0.849,0.711
"2050",0.545,0.201,0.855,0.636,0.775,0.753,0.898,0.892,0.654,0.868,0.787
"2060",0.691,0.384,0.873,0.708,0.836,0.82,0.897,0.894,0.757,0.88,0.835
"2070",0.796,0.626,0.884,0.789,0.868,0.858,0.897,0.895,0.82,0.887,0.862
"2080",0.855,0.803,0.889,0.854,0.882,0.876,0.897,0.896,0.851,0.891,0.876
"2090",0.88,0.866,0.893,0.882,0.888,0.885,0.897,0.897,0.871,0.894,0.885
