"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",0.088,0.127,0.616,0.506,0.637,0.55,0.979,0.923,0.41,0.749,0.506
"2",0.206,0.161,0.764,0.572,0.742,0.675,0.986,0.953,0.492,0.849,0.684
"3",0.99,0.99,0.99,0.991,0.99,0.99,0.998,0.992,0.99,0.99,0.99
"4",0.99,0.99,0.99,0.992,0.99,0.99,0.998,0.993,0.99,0.99,0.99
"5",0.99,0.99,0.99,0.992,0.991,0.99,0.997,0.994,0.991,0.99,0.99
"6",0.99,0.99,0.99,0.992,0.991,0.99,0.997,0.995,0.991,0.99,0.99
"7",0.99,0.99,0.99,0.992,0.991,0.99,0.998,0.996,0.991,0.99,0.99
"8",0.99,0.99,0.991,0.992,0.992,0.99,0.999,0.998,0.991,0.993,0.99
"9",0.99,0.99,0.994,0.993,0.994,0.993,0.999,0.999,0.992,0.996,0.992
"10",0.989999999999999,0.989999999999999,0.990000000000001,0.991999999999999,0.991,0.99,1.001,0.999,0.991,0.99,0.99
"11",0.989999999999999,0.989999999999999,0.990000000000001,0.991999999999999,0.991,0.99,1.002,1,0.991,0.99,0.989999999999999
