"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",21509.522,9818.368,9007.39,21671.592,59136.263,23685.348,21693.779,52348.439,24529.013,63430.082,88270.194
"2",39694.955,17819.432,10373.678,30892.342,72243.503,30610.736,22843.215,58262.995,33414.027,71560.116,129408.578
"3",48006.69,23688.962,9226.061,34559.299,66653.911,29000.798,18989.411,50569.794,34005.614,63461.305,128163.942
"4",75778.594,35592.359,9455.96,42864.651,71634.605,31837.592,18929.252,53798.737,40086.824,66997.24,142052.863
"5",88732.515,51019.241,9375.142,47675.238,75091.11,32898.912,18713.883,56667.175,45935.69,69258.391,146589.151
"6",110210.317,70658.523,9166.324,52388.6,77158.102,33070.715,18476.883,59100.733,50913.707,70773.855,130305.674
"7",125079.932,95110.444,8942.366,57353.459,78380.467,33069.11,18084.135,61069.437,54628.051,71568.526,126595.883
"8",131944.001,118399.755,8598.932,61723.479,79044.225,32644.133,17528.328,61932.932,57026.514,71621.786,120763.426
"9",134806.671,139610.241,8192.937,65405.548,78969.659,32058.855,16833.244,62125.071,58271.703,70896.804,117120.407
"10",169688.777,168466.207,8270.492,72248.036,82047.562,33064.295,16905.891,66975.549,65771.083,73952.539,115466.51
"11",184558.392,192918.128,8046.534,77212.895,83269.927,33062.69,16513.143,68944.253,69485.4269999999,74747.2100000001,111756.719
