"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",0.082,0.064,0.571,0.381,0.529,0.42,0.993,0.927,0.186,0.746,0.469
"2",0.114,0.068,0.696,0.358,0.451,0.486,0.995,0.942,0.235,0.848,0.583
"3",0.99,0.99,0.99,0.99,0.99,0.99,0.999,0.991,0.99,0.99,0.99
"4",0.99,0.99,0.99,0.99,0.99,0.99,0.999,0.993,0.99,0.99,0.99
"5",0.99,0.99,0.99,0.99,0.99,0.99,0.999,0.994,0.99,0.99,0.99
"6",0.99,0.99,0.99,0.99,0.99,0.99,0.999,0.995,0.99,0.99,0.99
"7",0.99,0.99,0.99,0.99,0.99,0.99,0.999,0.996,0.99,0.99,0.99
"8",0.99,0.99,0.991,0.99,0.991,0.99,1,0.998,0.99,0.993,0.99
"9",0.99,0.99,0.993,0.991,0.992,0.991,1,0.999,0.99,0.996,0.992
"10",0.989999999999999,0.989999999999999,0.99,0.99,0.99,0.99,0.999,0.999,0.989999999999999,0.99,0.99
"11",0.989999999999999,0.989999999999999,0.99,0.99,0.99,0.99,0.998999999999999,1,0.989999999999999,0.99,0.989999999999999
