"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",21509.522,9818.368,9007.39,21671.592,59136.263,23685.348,21693.779,52348.439,24529.013,63430.082,88270.194
"2",39694.955,17819.432,10373.678,30892.342,72243.503,30610.736,22843.215,58262.995,33414.027,71560.116,129408.578
"3",59267.518,29245.632,11390.199,42665.801,82288.779,35803.454,23443.717,62431.845,41982.24,78347.29,158227.088
"4",93917.038,43941.184,11674.025,52919.322,88437.784,39305.67,23369.448,66418.194,49489.906,82712.642,175373.904
"5",109546.314,62986.718,11574.249,58858.318,92705.074,40615.941,23103.559,69959.475,56710.729,85504.186,180974.26
"6",137011.042,87232.747,11316.45,64677.284,95256.916,40828.044,22810.967,72963.868,62856.429,87375.13,160871.203
"7",154640.991,117420.304,11039.958,70806.74,96766.008,40826.062,22326.092,75394.366,67442.038,88356.205,156291.214
"8",162893.829,146172.541,10615.965,76201.826,97585.464,40301.399,21639.912,76460.41,70403.103,88421.958,149090.65
"9",166427.989,172358.326,10114.738,80747.59,97493.407,39578.834,20781.782,76697.619,71940.375,87526.918,144593.096
"10",207530.838,207982.975,10210.482,89195.108,101293.284,40820.116,20871.467,82685.86,81198.8650000001,91299.43,142551.247
"11",225160.787,238170.532,9933.99000000001,95324.564,102802.376,40818.1339999999,20386.592,85116.358,85784.4740000001,92280.505,137971.258
