"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",27971.135,11270.374,10849.513,29492.948,70584.707,31303.122,24384.647,61615.517,28077.173,73048.628,116520.621
"2",50850.176,20370.549,12405.617,41481.214,85357.684,39642.384,25501.567,68280.865,38037.347,81740.207,163300.417
"3",62057.606,34060.334,10966.36,46808.815,78555.702,37024.364,21086.232,59057.229,38843.937,71961.775,163217.514
"4",91762.788,47180.817,11184.993,56259.83,83703.511,40138.784,20937.444,62552.645,45454.094,75470.198,177531.308
"5",113692.115,63023.117,11026.71,59198.584,87029.052,41034.03,20636.112,65592.289,51712.448,77544.527,181896.216
"6",131854.47,82454.61,10722.741,62709.19,88754.378,40871.804,20320.608,68105.171,56928.407,78848.517,160452.685
"7",148961.522,107440.708,10406.135,67485.777,89547.882,40506.097,19842.248,70086.265,60696.844,79399.108,152286.419
"8",159030.643,132348.915,9952.18,71796.29,89756.685,39618.575,19190.905,70824.553,63004.382,79162.353,146194.874
"9",161688.958,155353.35,9431.916,75412.254,89172.613,38558.802,18394.372,70802.692,64067.706,78096.896,141117.539
"10",200282.678,182399.002,9456.317,81815.538,91928.394,39408.976,18407.168,76029.547,72002.155,81050.8809999999,127787.621
"11",217389.73,207385.1,9139.711,86592.1249999999,92721.898,39043.2690000001,17928.808,78010.641,75770.592,81601.4719999999,119621.355
