"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",9501.354,4668.015,5325.274,12105.969,26509.822,12917.003,11016.824,31486.066,9830.056,25496.404,81036.041
"2",22094.873,6525.403,6300.917,18338.857,34532.305,18886.795,11325.434,34432.995,13783.24,29978.075,112821.539
"3",34513.504,10031.224,7123.543,28082.811,39894.174,23236.267,11562.535,37174.098,18085.335,33402.203,141575.242
"4",58854.854,15379.423,7315.666,34482.779,42236.23,26117.672,11392.161,39992.593,21985.298,35400.153,154901.813
"5",74150.613,23849.029,7211.605,33618.581,43781.241,26837.222,11188.305,42713.055,26490.907,36362.812,159585.785
"6",85724.793,37087.524,7059.159,34677.965,44995.676,26556.787,11029.27,45228.685,30820.256,36858.284,135500.376
"7",98221.2,56570.931,6950.485,38036.789,46167.013,26311.657,10862.546,47509.593,34449.257,37270.233,128881.679
"8",104399.99,75204.291,6752.694,41546.004,47584.806,25908.619,10600.089,49098.018,37102.819,37206.387,125948.203
"9",104607.483,92693.59,6513.982,45294.409,48849.488,25503.573,10282.08,50098.697,38690.132,36712.8,124536.647
"10",135710.421,115021.152,6624.463,48113.261,49681.024,25576.267,10362.374,54352.317,45336.26,38506.08,109025.588
"11",148206.828,134504.559,6515.78899999999,51472.085,50852.361,25331.137,10195.65,56633.225,48965.261,38918.029,102406.891
