"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",25056.869,3927.856,2767.139,7065.467,6511.058,6105.161,4373.864,7655.825,10091.378,7671.402,27744.829
"2",30707.953,7298.845,2443.806,7849.311,6299.477,6005.654,3798.014,7292.63,11453.476,6938.352,32873.223
"3",28272.106,8691.221,1750.536,6940.518,4940.209,4665.846,2607.902,5346.846,9916.697,4945.988,25804.833
"4",30029.099,12122.653,1531.86,7330.384,4687.501,4296.756,2159.876,4817.591,10007.188,4258.222,23164.927
"5",30261.112,15776.688,1332.089,7517.465,4393.507,3855.458,1780.971,4304.179,9754.72,3619.612,20104.306
"6",29491.437,19136.127,1153.608,7545.443,3998.55,3414.805,1463.394,3805.407,9203.191,3042.513,16857.366
"7",27713.646,21873.185,1000.607,7332.115,3599.943,3004.027,1189.744,3335.511,8508.643,2526.666,14054.995
"8",25302.961,23785.445,862.84,7063.41,3219.5,2616.027,965.452,2864.581,7764.718,2079.589,11617.845
"9",22531.698,24811.265,742.858,6623.419,2865.507,2271.478,777.594,2446.743,7038.13,1697.822,9591.46
"10",22380.273,30084.359,541.604,6692.13099999999,2404.122,1771.693,368.794000000001,1925.823,6424.99900000001,979.125000000003,5647.882
"11",20602.482,32821.417,388.603,6478.80299999999,2005.515,1360.915,95.1440000000009,1455.927,5730.45100000001,463.278000000003,2845.51099999999
