,SAS,AFR,EEU,MEA,LAM,FSU,PAO,WEU,PAS,NAM,CPA
2010,790777.8226,93774.40322,5153.795127,215246.8793,179483.4783,107541.1042,77754.34433,95572.26579,241093.5038,212678.8091,400915.5173
2020,821872.7586,103210.9365,4655.398422,268422.7186,207575.093,121732.7512,77160.2748,98811.33478,278723.5642,217627.4968,436948.8947
2030,833119.5211,107846.7403,3766.685116,271636.5827,215994.9266,116188.9166,72824.3625,99050.9836,286568.3765,212690.7699,423414.8733
2040,848770.9523,111338.2712,3255.282396,272987.4441,223012.6492,114105.3904,71267.79333,98710.4997,290494.9611,211693.065,412229.081
2050,857490.7458,114908.9313,3094.996171,270674.7352,227996.8002,112053.3368,68522.25728,98382.41396,294195.7752,211305.7026,392622.2322
2060,852192.1185,117120.9288,3189.493788,263916.6326,231295.7489,109571.6851,66386.02721,96654.54394,292009.7895,210408.5831,370660.11
2070,832992.2554,119184.5909,3085.830339,251786.5971,232708.1142,108036.7753,64931.39049,95193.44415,295254.1616,213026.0593,352639.307
2080,811948.0679,116046.6114,2592.434706,238833.5461,228990.5232,105454.9553,63183.83825,93217.45142,292223.0323,212060.8177,335028.99
2090,776087.2807,113510.9348,2353.642088,221494.2868,225945.8587,102438.0821,61945.33171,90209.38061,290921.0121,209524.0205,313555.6995
2100,740737.7478,108765.552,1977.726451,206449.3877,222934.7138,99836.98797,61312.61315,88003.28873,281705.4243,206712.4302,262582.0077
