"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",34081.522,4538.277,3172.24,8200.31,7849.284,8945.464,4794.308,8639.472,11561.183,9007.412,32617.973
"2",41352.316,8423.762,2786.993,9080.254,7542.429,8733.749,4144.482,8178.376,13070.665,8078.983,38201.211
"3",37943.78,12910.438,1986.56,7997.357,5912.449,6725.74,2837.761,5963.86,11380.19,5713.938,29874.076
"4",40150.841,14806.642,1730.203,8418.546,5558.324,6133.68,2349.609,5347.203,11334.851,4883.469,26719.512
"5",40449.297,18173.17,1497.798,8609.922,5185.615,5446.988,1937.417,4755.822,11007.585,4123.006,23097.69
"6",39405.686,21878.735,1291.954,8623.904,4697.206,4774.76,1591.938,4187.48,10347.443,3444.118,19292.83
"7",37036.669,24897.034,1116.416,8358.841,4209.37,4162.291,1294.261,3659.439,9532.027,2844.187,16020.94
"8",33842.605,26948.275,959.329,8031.431,3747.849,3596.084,1050.242,3134.551,8668.475,2329.32,13212.174
"9",30167.68,27994.694,823.274,7511.233,3321.394,3101.803,845.86,2671.663,7831.307,1893.409,10884.016
"10",29929.618,33951.931,589.802,7563.652,2745.862,2324.884,401.23,2075.316,7085.77900000001,1044.394,6205.27000000001
"11",27560.601,36970.23,414.264,7298.589,2258.026,1712.415,103.553,1547.275,6270.36300000001,444.463000000001,2933.38000000002
