"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"2010",25056.869,3927.856,2767.139,7065.467,6511.058,6105.161,4373.864,7655.825,10091.378,7671.402,27744.829
"2020",30707.953,7298.845,2443.806,7849.311,6299.477,6005.654,3798.014,7292.63,11453.476,6938.352,32873.223
"2030",34903.834,10729.902,2161.156,8568.54,6099.024,5760.304,3219.632,6601.044,12242.836,6106.158,31857.818
"2040",37072.961,14966.238,1891.185,9049.857,5787.038,5304.637,2666.514,5947.643,12354.553,5257.064,28598.675
"2050",37359.397,19477.393,1644.555,9280.822,5424.083,4759.825,2198.73,5313.801,12042.865,4468.657,24820.131
"2060",36409.181,23624.848,1424.207,9315.361,4936.481,4215.808,1806.659,4698.034,11361.964,3756.189,20811.563
"2070",34214.377,27003.932,1235.317,9051.994,4444.375,3708.676,1468.82,4117.915,10504.498,3119.341,17351.846
"2080",31238.223,29364.747,1065.235,8720.26,3974.691,3229.663,1191.916,3536.52,9586.071,2567.394,14343.019
"2090",27816.911,30631.192,917.109,8177.06,3537.664,2804.294,959.992,3020.67,8689.049,2096.077,11841.309
