"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",18469.781,6602.359,5524.239,17386.979,44074.885,18386.119,13367.823,30129.451,18247.117,47552.224,35484.58
"2",28755.303,13845.146,6104.7,23142.357,50825.379,20755.589,14176.133,33847.87,24254.107,51762.132,50478.878
"3",40781.509,23256.357,6415.021,29003.156,56591.571,22469.782,14469.85,35709.502,29457.897,55439.494,59844.215
"4",53406.073,34435.197,6492.967,34405.42,60781.08,23432.97,14456.535,37210.557,33766.61,57772.931,64213.907
"5",65749.796,47257.245,6401.618,39123.98,63507.163,23818.465,14288.377,38238.899,37061.836,59371.172,64943.141
"6",76784.72,60945.056,6178.792,42620.283,64528.578,23898.73,14057.9,38820.071,39255.707,60485.564,62585.338
"7",85572.257,74759.818,5896.595,45134.442,64374.827,23692.38,13634.056,38977.668,40359.179,60753.357,59126.246
"8",91916.827,87617.914,5533.948,46919.098,63219.526,22999.542,13092.383,38282.153,40626.097,60524.913,54539.295
"9",94992.473,98576.517,5130.358,47580.23,61234.65,22096.022,12427.016,37235.01,40395.637,59703.12,49682.537
"10",111934.868,116204.104,5050.004,52676.919,63913.574,23073.33,12362.524,39450.459,43669.595,61556.736,48748.97
"11",120722.405,130018.866,4767.807,55191.078,63759.8229999999,22866.98,11938.68,39608.056,44773.067,61824.529,45289.878
