"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",0.082,0.064,0.571,0.381,0.529,0.42,0.993,0.927,0.186,0.746,0.469
"2",0.114,0.068,0.696,0.358,0.451,0.486,0.995,0.942,0.235,0.848,0.583
"3",0.213,0.087,0.821,0.449,0.487,0.605,0.997,0.966,0.397,0.909,0.747
"4",0.39,0.128,0.898,0.574,0.583,0.735,0.998,0.981,0.578,0.945,0.837
"5",0.597,0.218,0.942,0.665,0.705,0.851,0.999,0.989,0.715,0.967,0.906
"6",0.781,0.401,0.966,0.761,0.821,0.927,0.999,0.994,0.824,0.98,0.95
"7",0.895,0.663,0.98,0.873,0.91,0.965,0.999,0.996,0.9,0.988,0.973
"8",0.956,0.872,0.988,0.946,0.963,0.981,1,0.998,0.943,0.993,0.984
"9",0.982,0.958,0.993,0.978,0.985,0.989,1,0.999,0.97,0.996,0.991
"10",1.237,1.449,1.022,1.209,1.177,1.079,0.999,1.002,1.128,1.012,1.042
"11",1.351,1.711,1.036,1.321,1.266,1.117,0.998999999999999,1.004,1.204,1.02,1.065
