"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",0.088,0.127,0.616,0.506,0.637,0.55,0.979,0.923,0.41,0.749,0.506
"2",0.206,0.161,0.764,0.572,0.742,0.675,0.986,0.953,0.492,0.849,0.684
"3",0.463,0.224,0.86,0.691,0.836,0.796,0.991,0.972,0.665,0.91,0.809
"4",0.67,0.349,0.917,0.785,0.902,0.882,0.994,0.983,0.794,0.946,0.887
"5",0.81,0.554,0.951,0.863,0.945,0.934,0.996,0.99,0.881,0.967,0.933
"6",0.902,0.773,0.971,0.932,0.97,0.962,0.997,0.994,0.933,0.98,0.96
"7",0.951,0.914,0.983,0.969,0.983,0.977,0.998,0.996,0.963,0.988,0.976
"8",0.974,0.962,0.99,0.984,0.99,0.986,0.999,0.998,0.98,0.993,0.986
"9",0.985,0.977,0.994,0.991,0.994,0.992,0.999,0.999,0.989,0.996,0.991
"10",1.098,1.337,1.019,1.08,1.022,1.022,1.001,1.002,1.053,1.012,1.024
"11",1.147,1.478,1.031,1.117,1.035,1.037,1.002,1.004,1.083,1.02,1.04
