"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"2010",34081.522,4538.277,3172.24,8200.31,7849.284,8945.464,4794.308,8639.472,11561.183,9007.412,32617.973
"2020",41352.316,8423.762,2786.993,9080.254,7542.429,8733.749,4144.482,8178.376,13070.665,8078.983,38201.211
"2030",46758.313,12350.608,2452.543,9873.28,7266.565,8303.382,3503.408,7362.79,13918.803,7054.245,36881.575
"2040",49568.94,17162.169,2136.053,10393.266,6862.129,7572.445,2900.751,6601.485,13993.643,6028.974,32987.051
"2050",49937.404,22252.934,1849.133,10629.533,6401.994,6724.676,2391.872,5871.385,13589.611,5090.13,28515.667
"2060",48648.995,26895.89,1595.005,10646.795,5799.019,5894.765,1965.355,5169.728,12774.62,4251.997,23818.308
"2070",45724.282,30639.545,1378.292,10319.557,5196.754,5138.631,1597.854,4517.826,11767.934,3511.342,19778.939
"2080",41780.993,33211.451,1184.356,9915.347,4626.975,4439.61,1296.595,3869.816,10701.82,2875.703,16311.326
"2090",37244.049,34535.864,1016.387,9273.127,4100.486,3829.387,1044.271,3298.349,9668.28,2337.541,13437.056
