relation,node_rel,year_rel,node_loc,technology,year_act,mode,value,unit
RES_variable_limt,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,-1.25,???
h2_exp_limit,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,1.0,???
oper_res,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,0.3125,???
solar_step,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,0.0625,???
solar_step2,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,0.1875,???
solar_step3,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,0.3125,???
wind_step,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,0.0625,???
wind_step2,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,0.1875,???
wind_step3,R12_AFR,2010,R12_AFR,h2_elec_pem,2010,M1,0.3125,???
RES_variable_limt,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,-1.25,???
h2_exp_limit,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,1.0,???
oper_res,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,0.3125,???
solar_step,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,0.0625,???
solar_step2,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,0.1875,???
solar_step3,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,0.3125,???
wind_step,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,0.0625,???
wind_step2,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,0.1875,???
wind_step3,R12_AFR,2015,R12_AFR,h2_elec_pem,2015,M1,0.3125,???
RES_variable_limt,R12_AFR,2020,R12_AFR,h2_elec_pem,2020,M1,-1.25,???
h2_exp_limit,R12_AFR,2020,R12_AFR,h2_elec_pem,2020,M1,1.0,???
oper_res,R12_AFR,2020,R12_AFR,h2_elec_pem,2020,M1,0.3125,???
solar_step,R12_AFR,2020,R12_AFR,h2_elec_pem,2020,M1,0.0625,???
