node_loc,technology,year_vtg,year_act,value,unit
R12_AFR,oil_pipe_mea,broadcast,broadcast,,USD/km
R12_AFR,oil_pipe_weu,broadcast,broadcast,,USD/km
R12_CHN,oil_pipe_fsu,broadcast,broadcast,,USD/km
R12_EEU,oil_pipe_fsu,broadcast,broadcast,,USD/km
R12_EEU,oil_pipe_weu,broadcast,broadcast,,USD/km
R12_FSU,oil_pipe_rcpa,broadcast,broadcast,,USD/km
R12_FSU,oil_pipe_chn,broadcast,broadcast,,USD/km
R12_FSU,oil_pipe_eeu,broadcast,broadcast,,USD/km
R12_FSU,oil_pipe_mea,broadcast,broadcast,,USD/km
R12_FSU,oil_pipe_pao,broadcast,broadcast,,USD/km
R12_FSU,oil_pipe_pas,broadcast,broadcast,,USD/km
R12_FSU,oil_pipe_sas,broadcast,broadcast,,USD/km
R12_FSU,oil_pipe_weu,broadcast,broadcast,,USD/km
R12_LAM,oil_pipe_nam,broadcast,broadcast,,USD/km
R12_MEA,oil_pipe_afr,broadcast,broadcast,,USD/km
R12_MEA,oil_pipe_eeu,broadcast,broadcast,,USD/km
R12_MEA,oil_pipe_fsu,broadcast,broadcast,,USD/km
R12_MEA,oil_pipe_sas,broadcast,broadcast,,USD/km
R12_MEA,oil_pipe_weu,broadcast,broadcast,,USD/km
R12_NAM,oil_pipe_lam,broadcast,broadcast,,USD/km
R12_PAO,oil_pipe_fsu,broadcast,broadcast,,USD/km
R12_PAS,oil_pipe_rcpa,broadcast,broadcast,,USD/km
R12_PAS,oil_pipe_chn,broadcast,broadcast,,USD/km
R12_PAS,oil_pipe_fsu,broadcast,broadcast,,USD/km
R12_PAS,oil_pipe_pao,broadcast,broadcast,,USD/km
R12_SAS,oil_pipe_fsu,broadcast,broadcast,,USD/km
R12_SAS,oil_pipe_mea,broadcast,broadcast,,USD/km
R12_SAS,oil_pipe_pas,broadcast,broadcast,,USD/km
R12_WEU,oil_pipe_afr,broadcast,broadcast,,USD/km
R12_WEU,oil_pipe_eeu,broadcast,broadcast,,USD/km
R12_WEU,oil_pipe_fsu,broadcast,broadcast,,USD/km
R12_WEU,oil_pipe_mea,broadcast,broadcast,,USD/km
