technology,sector
bio_ppl_co2scr,CCS
biomass_NH3_ccs,CCS
c_ppl_co2scr,CCS
coal_NH3_ccs,CCS
dac_hte,dac
dac_htg,dac
dac_lt,dac
eth_bio_ccs,CCS
fueloil_NH3_ccs,CCS
g_ppl_co2scr,CCS
gas_NH3_ccs,CCS
h2_bio_ccs,CCS
h2_coal_ccs,CCS
h2_smr_ccs,CCS
meth_coal_ccs,CCS
meth_ng_ccs,CCS
elec_exp_america,exclude
elec_exp_asia,exclude
elec_exp_asia_afr,exclude
elec_exp_eur_afr,exclude
elec_exp_eurasia,exclude
elec_t_d,exclude
po_turbine,exclude
solar_curtailment1,exclude
solar_curtailment2,exclude
solar_curtailment3,exclude
stor_ppl,exclude
wind_curtailment1,exclude
wind_curtailment2,exclude
wind_curtailment3,exclude
CH2O_synth,heavy_industry
CH2O_to_resin,heavy_industry
CH4_WWIND_COD_IND_FOOD_ANAE_USE,exclude
CH4_WWIND_COD_IND_OTH_ANAE_USE,exclude
CH4_WWIND_COD_IND_PAP_ANAE_USE,exclude
CH4_WW_DOM_URB_DOM_CC_23U,exclude
MTO_petro,heavy_industry
NH3_to_N_fertil,heavy_industry
bf_biomass_steel,heavy_industry
bf_ccs_steel,heavy_industry
bf_steel,heavy_industry
biomass_NH3,exclude
bof_steel,heavy_industry
clinker_dry_ccs_cement,heavy_industry
clinker_dry_cement,heavy_industry
clinker_wet_ccs_cement,heavy_industry
clinker_wet_cement,heavy_industry
coal_NH3,heavy_industry
dri_coal_steel,heavy_industry
dri_gas_ccs_steel,heavy_industry
dri_gas_steel,heavy_industry
eaf_steel,heavy_industry
elec_exp_africa,exclude
elec_i,light_industry
electr_NH3,heavy_industry
eth_bio,exclude
finishing_steel,heavy_industry
fueloil_NH3,heavy_industry
furnace_elec_aluminum,heavy_industry
furnace_elec_cement,heavy_industry
furnace_elec_petro,heavy_industry
furnace_elec_refining,heavy_industry
furnace_elec_resins,heavy_industry
furnace_elec_steel,heavy_industry
gas_NH3,exclude
gas_bio,exclude
grinding_ballmill_cement,heavy_industry
grinding_vertmill_cement,heavy_industry
h2_bio,exclude
h2_coal,exclude
h2_elec,exclude
h2_liq,exclude
h2_smr,exclude
hp_el_i,light_industry
hp_elec_aluminum,heavy_industry
hp_elec_petro,heavy_industry
hp_elec_refining,heavy_industry
hp_elec_resins,heavy_industry
hp_elec_steel,heavy_industry
meth_coal,exclude
meth_h2,exclude
meth_ng,exclude
pellet_steel,heavy_industry
prebake_aluminum,heavy_industry
raw_meal_prep_cement,heavy_industry
refining_aluminum,heavy_industry
sinter_steel,heavy_industry
soderberg_aluminum,heavy_industry
sp_el_I,light_industry
steam_cracker_petro,heavy_industry
elec_rc,rc_therm
hp_el_rc,rc_therm
sp_el_RC,rc_spec
elec_trp,transport
