exporter,importer,export_technology,import_technology,"INCLUDE? (No=0, Yes=1)"
R12_PAS,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_PAS,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_PAS,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_PAS,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_PAS,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_PAS,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_PAS,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_PAS,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_PAS,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_PAS,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_PAS,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_LAM,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_LAM,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_LAM,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_LAM,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_LAM,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_LAM,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_LAM,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_LAM,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_LAM,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_LAM,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_LAM,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_NAM,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_NAM,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_NAM,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_NAM,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_NAM,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_NAM,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_NAM,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_NAM,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_NAM,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_NAM,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_NAM,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_PAO,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_PAO,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_PAO,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_PAO,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_PAO,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_PAO,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_PAO,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_PAO,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_PAO,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_PAO,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_PAO,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_FSU,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_FSU,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_FSU,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_FSU,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_FSU,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_FSU,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_FSU,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_FSU,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_FSU,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_FSU,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_FSU,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_SAS,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_SAS,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_SAS,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_SAS,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_SAS,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_SAS,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_SAS,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_SAS,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_SAS,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_SAS,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_SAS,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_RCPA,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_RCPA,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_RCPA,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_RCPA,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_RCPA,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_RCPA,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_RCPA,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_RCPA,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_RCPA,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_RCPA,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_RCPA,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_MEA,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_MEA,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_MEA,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_MEA,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_MEA,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_MEA,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_MEA,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_MEA,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_MEA,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_MEA,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_MEA,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_EEU,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_EEU,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_EEU,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_EEU,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_EEU,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_EEU,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_EEU,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_EEU,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_EEU,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_EEU,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_EEU,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_CHN,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_CHN,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_CHN,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_CHN,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_CHN,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_CHN,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_CHN,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_CHN,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_CHN,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_CHN,R12_AFR,elec_exp_uhv_afr,elec_imp,
R12_CHN,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_AFR,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_AFR,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_AFR,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_AFR,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_AFR,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_AFR,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_AFR,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_AFR,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_AFR,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_AFR,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_AFR,R12_WEU,elec_exp_uhv_weu,elec_imp,
R12_WEU,R12_PAS,elec_exp_uhv_pas,elec_imp,
R12_WEU,R12_LAM,elec_exp_uhv_lam,elec_imp,
R12_WEU,R12_NAM,elec_exp_uhv_nam,elec_imp,
R12_WEU,R12_PAO,elec_exp_uhv_pao,elec_imp,
R12_WEU,R12_FSU,elec_exp_uhv_fsu,elec_imp,
R12_WEU,R12_SAS,elec_exp_uhv_sas,elec_imp,
R12_WEU,R12_RCPA,elec_exp_uhv_rcpa,elec_imp,
R12_WEU,R12_MEA,elec_exp_uhv_mea,elec_imp,
R12_WEU,R12_EEU,elec_exp_uhv_eeu,elec_imp,
R12_WEU,R12_CHN,elec_exp_uhv_chn,elec_imp,
R12_WEU,R12_AFR,elec_exp_uhv_afr,elec_imp,
