year,deflator_index_2010
2005,0.909881
2006,0.937972
2007,0.963371
2008,0.982012
2009,0.988026
2010,1.0
2011,1.020638
2012,1.039664
2013,1.057334
2014,1.075735
2015,1.085754
2016,1.096055
2017,1.115661
2018,1.141241
2019,1.160061
2020,1.175541
2021,1.229034
2022,1.316682
2023,1.365433
2024,1.399351
2025,1.438937
