Region,1990,1995,2000,2005,2010,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110
AFR,1557.553955,1662.462036,1767.968018,1878.840942,1989.707031,0,0,0,0,0,0,0,0,0,0,0
CPA,0,0,0,153.045197,306.095093,0,0,0,0,0,0,0,0,0,0,0
EEU,0,0,0,7.254708,14.50712,0,0,0,0,0,0,0,0,0,0,0
FSU,0,0,0,46.16679,92.287086,0,0,0,0,0,0,0,0,0,0,0
LAM,3653.98291,3900.438965,4147.679199,3825.943115,3504.206055,0,0,0,0,0,0,0,0,0,0,0
MEA,0,0,0,5.986132,11.97022,0,0,0,0,0,0,0,0,0,0,0
NAM,0,0,0,53.316441,106.632896,0,0,0,0,0,0,0,0,0,0,0
PAO,0,0,0,124.8834,249.766006,0,0,0,0,0,0,0,0,0,0,0
PAS,1011.903015,856.075684,700.248413,671.362427,642.476379,0,0,0,0,0,0,0,0,0,0,0
SAS,-34.031841,-28.65848,-23.583241,-23.34458,-23.10548,0,0,0,0,0,0,0,0,0,0,0
WEU,0,0,0,19.33499,38.658031,0,0,0,0,0,0,0,0,0,0,0
World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
