Region,Year,Scenario,SSP,Tech,WACC
R12_AFR,2020,cf_his_f10,SSP1,solar,0.09955627158966499
R12_AFR,2025,cf_his_f10,SSP1,solar,0.0650179687882316
R12_AFR,2030,cf_his_f10,SSP1,solar,0.030130688472130893
R12_AFR,2035,cf_his_f10,SSP1,solar,0.016257968273570463
R12_AFR,2040,cf_his_f10,SSP1,solar,0.009421322399144375
R12_AFR,2045,cf_his_f10,SSP1,solar,0.005575057472818695
R12_AFR,2050,cf_his_f10,SSP1,solar,0.003293279037088878
R12_AFR,2055,cf_his_f10,SSP1,solar,0.0032448780291225235
R12_AFR,2060,cf_his_f10,SSP1,solar,0.00318886453205931
R12_AFR,2065,cf_his_f10,SSP1,solar,0.003130624581171186
R12_AFR,2070,cf_his_f10,SSP1,solar,0.003073530029392364
R12_AFR,2075,cf_his_f10,SSP1,solar,0.0030282061345634098
R12_AFR,2080,cf_his_f10,SSP1,solar,0.002983550785959208
R12_AFR,2085,cf_his_f10,SSP1,solar,0.002939254669343593
R12_AFR,2090,cf_his_f10,SSP1,solar,0.0028956162301422166
R12_AFR,2095,cf_his_f10,SSP1,solar,0.0028528993770287094
R12_AFR,2100,cf_his_f10,SSP1,solar,0.0028108128477477633
R12_CHN,2020,cf_his_f10,SSP1,solar,0.04564778346435897
R12_CHN,2025,cf_his_f10,SSP1,solar,0.038967097958569924
R12_CHN,2030,cf_his_f10,SSP1,solar,0.032019403062557766
R12_CHN,2035,cf_his_f10,SSP1,solar,0.02533510795569766
R12_CHN,2040,cf_his_f10,SSP1,solar,0.021466479674995674
R12_CHN,2045,cf_his_f10,SSP1,solar,0.0191624263657766
R12_CHN,2050,cf_his_f10,SSP1,solar,0.017255339366429468
R12_CHN,2055,cf_his_f10,SSP1,solar,0.01714837498905556
R12_CHN,2060,cf_his_f10,SSP1,solar,0.017064337433354636
R12_CHN,2065,cf_his_f10,SSP1,solar,0.016966027059229852
R12_CHN,2070,cf_his_f10,SSP1,solar,0.01686882856846645
R12_CHN,2075,cf_his_f10,SSP1,solar,0.016798547891765655
R12_CHN,2080,cf_his_f10,SSP1,solar,0.016728739324363546
R12_CHN,2085,cf_his_f10,SSP1,solar,0.01667751050338558
R12_CHN,2090,cf_his_f10,SSP1,solar,0.016626481165144705
R12_CHN,2095,cf_his_f10,SSP1,solar,0.016596785196059803
R12_CHN,2100,cf_his_f10,SSP1,solar,0.016567144140941924
R12_EEU,2020,cf_his_f10,SSP1,solar,0.08070231310834594
R12_EEU,2025,cf_his_f10,SSP1,solar,0.06421502057212375
R12_EEU,2030,cf_his_f10,SSP1,solar,0.05418286101418863
R12_EEU,2035,cf_his_f10,SSP1,solar,0.040492330990153404
R12_EEU,2040,cf_his_f10,SSP1,solar,0.030210260089518035
R12_EEU,2045,cf_his_f10,SSP1,solar,0.02456591340997542
R12_EEU,2050,cf_his_f10,SSP1,solar,0.020278051519010295
R12_EEU,2055,cf_his_f10,SSP1,solar,0.019477844795523416
R12_EEU,2060,cf_his_f10,SSP1,solar,0.019071249757582884
R12_EEU,2065,cf_his_f10,SSP1,solar,0.018627269857412507
R12_EEU,2070,cf_his_f10,SSP1,solar,0.018204434983972888
R12_EEU,2075,cf_his_f10,SSP1,solar,0.018028249050123502
R12_EEU,2080,cf_his_f10,SSP1,solar,0.01785403312267108
R12_EEU,2085,cf_his_f10,SSP1,solar,0.017718677651381742
R12_EEU,2090,cf_his_f10,SSP1,solar,0.017584355920843692
R12_EEU,2095,cf_his_f10,SSP1,solar,0.017453971290731906
R12_EEU,2100,cf_his_f10,SSP1,solar,0.01732455624628187
