node_loc,technology,year_vtg,value,unit,coc_base,non_coc_base,non_coc_base_2020,non_coc_base_growth
R12_AFR,csp_sm1_res5,2080,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res5,2090,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res5,2100,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res5,2110,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res5,2025,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res5,2035,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res5,2045,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res5,2055,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2020,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2030,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2040,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2050,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2060,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2070,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2080,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2090,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2100,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2110,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2025,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2035,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2045,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res6,2055,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2020,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2030,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2040,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2050,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2060,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2070,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2080,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_AFR,csp_sm1_res7,2090,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
