Gas Occurrence Volume [EJ],,,,,,,,,,,Gas Extraction - Levelized Cost $2023/GJ,,,,,,,
,gas_1,gas_2,gas_3,gas_4,gas_5,gas_6,gas_7,Total,,,,gas_1,gas_2,gas_3,gas_4,gas_5,gas_6,gas_7
R12_AFR,271,317,403,453,403,252,302,"2,400",,,R12_AFR,3.0,3.7,4.5,6.0,9.2,14.4,21.2
R12_CHN,167,425,708,796,708,442,531,"3,776",,,R12_CHN,3.0,3.6,4.5,5.9,9.2,14.4,21.2
R12_EEU,8,24,41,46,41,25,30,214,,,R12_EEU,3.3,4.1,4.9,6.1,9.2,14.2,20.8
R12_FSU,"1,812","1,536","1,518","1,708","1,518",949,"1,139","10,181",,,R12_FSU,2.6,3.2,3.9,5.4,8.6,14.0,20.6
R12_LAM,207,479,781,878,781,488,586,"4,199",,,R12_LAM,3.0,3.7,4.4,5.7,8.8,14.4,21.1
R12_MEA,"2,349","1,436",859,967,859,537,644,"7,652",,,R12_MEA,2.1,2.6,3.5,5.4,8.5,13.9,20.4
R12_NAM,381,847,"1,367","1,538","1,367",855,"1,026","7,381",,,R12_NAM,2.8,3.4,4.1,5.8,9.0,14.2,20.8
R12_PAO,52,170,295,332,295,185,222,"1,551",,,R12_PAO,3.0,3.7,4.4,5.8,8.7,13.9,20.4
R12_PAS,126,167,225,254,225,141,169,"1,308",,,R12_PAS,3.0,3.7,4.4,5.7,8.8,14.1,20.8
R12_RCPA,17,49,82,93,82,51,62,437,,,R12_RCPA,3.1,3.8,4.5,5.6,8.6,13.7,20.5
R12_SAS,55,109,170,191,170,106,127,929,,,R12_SAS,3.0,3.7,4.4,5.6,8.6,14.0,20.6
R12_WEU,48,148,255,287,255,159,191,"1,343",,,R12_WEU,3.9,4.5,5.1,6.0,8.9,14.2,20.9
R12_NAM (Update),381,847,"1,367","1,538","1,367",855,"1,026","7,381",,,R12_NAM (Update),2.8,2.4,2.9,2.9,4.5,7.1,10.4
