Oil Occurrence Volume [EJ],,,,,,,,,,Oil Extraction - Levelized Cost $2023/GJ,,,,,,,,
,crude_1,crude_2,crude_3,crude_4,crude_5,crude_6,crude_7,,,,crude_1,crude_2,crude_3,crude_4,crude_5,crude_6,crude_7,
R12_AFR,219,205,221,249,199,166,160,,,R12_AFR,5.1,6.5,8.0,11.7,15.1,21.0,28.1,
R12_CHN,103,165,242,273,218,182,176,,,R12_CHN,5.0,6.3,7.8,11.4,15.0,20.9,27.4,
R12_EEU,9,10,11,13,10,8,8,,,R12_EEU,6.2,7.9,9.4,12.2,15.1,20.6,27.5,
R12_FSU,587,678,854,961,768,640,619,,,R12_FSU,4.8,6.1,7.3,10.3,14.5,21.2,27.7,
R12_LAM,"1,519",994,687,773,618,515,498,,,R12_LAM,5.6,6.8,7.6,9.8,14.1,20.5,27.4,
R12_MEA,"3,610","1,751",408,459,367,306,296,,,R12_MEA,4.2,5.4,7.2,10.5,14.4,21.0,28.0,
R12_NAM,988,"1,154","1,462","1,645","1,316","1,097","1,060",,,R12_NAM,5.7,7.2,8.4,11.2,14.8,20.6,27.6,
R12_PAO,7,62,117,132,106,88,85,,,R12_PAO,6.3,7.5,9.0,10.9,13.9,20.4,27.6,
R12_PAS,31,40,53,60,48,40,39,,,R12_PAS,5.6,7.1,8.5,11.3,14.3,20.4,27.2,
R12_RCPA,19,15,14,16,13,11,10,,,R12_RCPA,5.7,7.2,8.7,11.4,13.8,20.1,28.6,
R12_SAS,21,23,28,32,25,21,20,,,R12_SAS,5.4,6.8,7.9,11.1,14.5,21.2,27.9,
R12_WEU,46,69,99,112,89,74,72,,,R12_WEU,7.3,8.4,9.6,11.7,14.1,20.5,28.2,
,,,,,,,,,,,1.7,1.6,1.3,1.3,1.1,1.1,1.0,
