node_loc,technology,year_vtg,year_act,mode,emission,value,unit
R12_AFR,h2_ct,2030,2030,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2035,2035,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2040,2040,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2045,2045,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2050,2050,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2055,2055,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2060,2060,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2070,2070,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2080,2080,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2090,2090,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2100,2100,M1,H2_leak,0.012772080000000002,Mt / a
R12_AFR,h2_ct,2110,2110,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2030,2030,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2035,2035,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2040,2040,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2045,2045,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2050,2050,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2055,2055,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2060,2060,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2070,2070,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2080,2080,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2090,2090,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2100,2100,M1,H2_leak,0.012772080000000002,Mt / a
R12_EEU,h2_ct,2110,2110,M1,H2_leak,0.012772080000000002,Mt / a
R12_LAM,h2_ct,2030,2030,M1,H2_leak,0.012772080000000002,Mt / a
R12_LAM,h2_ct,2035,2035,M1,H2_leak,0.012772080000000002,Mt / a
