relation,node_rel,year_rel,technology,value,unit
res_marg,R12_AFR,2030,h2_ct,1.0,-
res_marg,R12_EEU,2030,h2_ct,1.0,-
res_marg,R12_LAM,2030,h2_ct,1.0,-
res_marg,R12_MEA,2030,h2_ct,1.0,-
res_marg,R12_NAM,2030,h2_ct,1.0,-
res_marg,R12_SAS,2030,h2_ct,1.0,-
res_marg,R12_WEU,2030,h2_ct,1.0,-
res_marg,R12_FSU,2030,h2_ct,1.0,-
res_marg,R12_PAO,2030,h2_ct,1.0,-
res_marg,R12_PAS,2030,h2_ct,1.0,-
res_marg,R12_CHN,2030,h2_ct,1.0,-
res_marg,R12_RCPA,2030,h2_ct,1.0,-
res_marg,R12_AFR,2035,h2_ct,1.0,-
res_marg,R12_EEU,2035,h2_ct,1.0,-
res_marg,R12_LAM,2035,h2_ct,1.0,-
res_marg,R12_MEA,2035,h2_ct,1.0,-
res_marg,R12_NAM,2035,h2_ct,1.0,-
res_marg,R12_SAS,2035,h2_ct,1.0,-
res_marg,R12_WEU,2035,h2_ct,1.0,-
res_marg,R12_FSU,2035,h2_ct,1.0,-
res_marg,R12_PAO,2035,h2_ct,1.0,-
res_marg,R12_PAS,2035,h2_ct,1.0,-
res_marg,R12_CHN,2035,h2_ct,1.0,-
res_marg,R12_RCPA,2035,h2_ct,1.0,-
res_marg,R12_AFR,2040,h2_ct,1.0,-
res_marg,R12_EEU,2040,h2_ct,1.0,-
res_marg,R12_LAM,2040,h2_ct,1.0,-
res_marg,R12_MEA,2040,h2_ct,1.0,-
res_marg,R12_NAM,2040,h2_ct,1.0,-
res_marg,R12_SAS,2040,h2_ct,1.0,-
res_marg,R12_WEU,2040,h2_ct,1.0,-
res_marg,R12_FSU,2040,h2_ct,1.0,-
res_marg,R12_PAO,2040,h2_ct,1.0,-
res_marg,R12_PAS,2040,h2_ct,1.0,-
res_marg,R12_CHN,2040,h2_ct,1.0,-
res_marg,R12_RCPA,2040,h2_ct,1.0,-
res_marg,R12_AFR,2045,h2_ct,1.0,-
res_marg,R12_EEU,2045,h2_ct,1.0,-
res_marg,R12_LAM,2045,h2_ct,1.0,-
res_marg,R12_MEA,2045,h2_ct,1.0,-
res_marg,R12_NAM,2045,h2_ct,1.0,-
res_marg,R12_SAS,2045,h2_ct,1.0,-
res_marg,R12_WEU,2045,h2_ct,1.0,-
res_marg,R12_FSU,2045,h2_ct,1.0,-
res_marg,R12_PAO,2045,h2_ct,1.0,-
res_marg,R12_PAS,2045,h2_ct,1.0,-
res_marg,R12_CHN,2045,h2_ct,1.0,-
res_marg,R12_RCPA,2045,h2_ct,1.0,-
res_marg,R12_AFR,2050,h2_ct,1.0,-
res_marg,R12_EEU,2050,h2_ct,1.0,-
