region,year,arch,urt,floor_Mm2
AFR,2020,comm_s1,rural,126.09207633389
AFR,2020,comm_s1,urban,18.58502678997
AFR,2020,comm_s2,rural,266.56128852236
AFR,2020,comm_s2,urban,135.23792245146
AFR,2020,comm_s3,rural,373.76917935107997
AFR,2020,comm_s3,urban,356.87956377434
AFR,2020,comm_s51_std,rural,173.73642168595
AFR,2020,comm_s51_std,urban,184.08923443193999
AFR,2020,comm_sr11_std,rural,3.23313016243
AFR,2020,comm_sr11_std,urban,0.47653914851
AFR,2020,comm_sr21_std,rural,6.83490483397
AFR,2020,comm_sr21_std,urban,3.4676390372
AFR,2020,comm_sr31_std,rural,9.58382511156
AFR,2020,comm_sr31_std,urban,9.15075804537
AFR,2025,comm_s1,rural,117.42941546725
AFR,2025,comm_s1,urban,17.308215518689998
AFR,2025,comm_s2,rural,244.31389116276
AFR,2025,comm_s2,urban,123.94161441517
AFR,2025,comm_s3,rural,351.87501866237
AFR,2025,comm_s3,urban,336.81602010563
AFR,2025,comm_s51_std,rural,384.06000333682
AFR,2025,comm_s51_std,urban,426.0844347327701
AFR,2025,comm_sr11_std,rural,6.0992267074
AFR,2025,comm_sr11_std,urban,0.8989802932600001
AFR,2025,comm_sr21_std,rural,12.68954464296
AFR,2025,comm_sr21_std,urban,6.43746715241
AFR,2025,comm_sr31_std,rural,18.27621727423
AFR,2025,comm_sr31_std,urban,17.494060215650002
AFR,2030,comm_s1,rural,109.90598373415
AFR,2030,comm_s1,urban,16.19931808137
AFR,2030,comm_s2,rural,223.90213781626
AFR,2030,comm_s2,urban,113.50130218256001
AFR,2030,comm_s3,rural,328.52318234802
AFR,2030,comm_s3,urban,315.14476204618
AFR,2030,comm_s51_std,rural,636.7433537435301
AFR,2030,comm_s51_std,urban,742.56571316621
AFR,2030,comm_sr11_std,rural,8.67293632494
AFR,2030,comm_sr11_std,urban,1.27832579683
AFR,2030,comm_sr21_std,rural,17.66863748746
AFR,2030,comm_sr21_std,urban,8.95665125028
AFR,2030,comm_sr31_std,rural,25.92452699076
AFR,2030,comm_sr31_std,urban,24.868804786510005
AFR,2035,comm_s1,rural,103.37329140198999
AFR,2035,comm_s1,urban,15.236448204610001
AFR,2035,comm_s2,rural,205.43630743228002
AFR,2035,comm_s2,urban,104.00149048602
AFR,2035,comm_s3,rural,304.56983032862
AFR,2035,comm_s3,urban,292.68633614592
AFR,2035,comm_s51_std,rural,937.34244329428
AFR,2035,comm_s51_std,urban,1153.21019755893
AFR,2035,comm_sr11_std,rural,11.01718840238
AFR,2035,comm_sr11_std,urban,1.6238509791300002
AFR,2035,comm_sr21_std,rural,21.89473192703
AFR,2035,comm_sr21_std,urban,11.084139812819998
AFR,2035,comm_sr31_std,rural,32.46005962363
AFR,2035,comm_sr31_std,urban,31.193555553610004
AFR,2040,comm_s1,rural,97.69313767584
AFR,2040,comm_s1,urban,14.39923612724
AFR,2040,comm_s2,rural,188.92321531285
AFR,2040,comm_s2,urban,95.4682632
AFR,2040,comm_s3,rural,280.78167014317
AFR,2040,comm_s3,urban,270.19218132951
AFR,2040,comm_s51_std,rural,1310.83638854226
AFR,2040,comm_s51_std,urban,1702.56566140324
AFR,2040,comm_sr11_std,rural,13.18373802804
AFR,2040,comm_sr11_std,urban,1.9431841522
AFR,2040,comm_sr21_std,rural,25.49528285551
AFR,2040,comm_sr21_std,urban,12.88349009935
AFR,2040,comm_sr31_std,rural,37.89162750111
AFR,2040,comm_sr31_std,urban,36.462570663849995
AFR,2045,comm_s1,rural,92.74014372392
AFR,2045,comm_s1,urban,13.66920194935
AFR,2045,comm_s2,rural,174.29245471642997
AFR,2045,comm_s2,urban,87.8827004515
AFR,2045,comm_s3,rural,257.79320512510003
AFR,2045,comm_s3,urban,248.29867232277002
AFR,2045,comm_s51_std,rural,1781.17087616611
AFR,2045,comm_s51_std,urban,2445.46707960904
AFR,2045,comm_sr11_std,rural,15.214187280010002
AFR,2045,comm_sr11_std,urban,2.24245715047
AFR,2045,comm_sr21_std,rural,28.592990489980004
AFR,2045,comm_sr21_std,urban,14.417314979910001
AFR,2045,comm_sr31_std,rural,42.29143868871999
AFR,2045,comm_sr31_std,urban,40.73384351621999
AFR,2050,comm_s1,rural,88.40271863430999
AFR,2050,comm_s1,urban,13.02989800705
AFR,2050,comm_s2,rural,161.42115186817
AFR,2050,comm_s2,urban,81.19412563303
AFR,2050,comm_s3,rural,236.08497798583
AFR,2050,comm_s3,urban,227.50058357546
AFR,2050,comm_s51_std,rural,2380.0355177695
AFR,2050,comm_s51_std,urban,3460.21474693905
AFR,2050,comm_sr11_std,rural,17.14122344956
AFR,2050,comm_sr11_std,urban,2.52648783566
AFR,2050,comm_sr21_std,rural,31.299445044
AFR,2050,comm_sr21_std,urban,15.743482460390002
AFR,2050,comm_sr31_std,rural,45.77670713363
AFR,2050,comm_sr31_std,urban,44.112199242690004
AFR,2055,comm_s1,rural,84.58301982942001
AFR,2055,comm_s1,urban,12.46690303792
AFR,2055,comm_s2,rural,150.15516275758
AFR,2055,comm_s2,urban,75.33181276689
AFR,2055,comm_s3,rural,215.98179209657002
AFR,2055,comm_s3,urban,208.14431531533
AFR,2055,comm_s51_std,rural,3150.78408133105
AFR,2055,comm_s51_std,urban,4856.18267931618
AFR,2055,comm_sr11_std,rural,18.98990984518
AFR,2055,comm_sr11_std,urban,2.7989703515399995
AFR,2055,comm_sr21_std,rural,33.711648145059996
AFR,2055,comm_sr21_std,urban,16.91290209085
AFR,2055,comm_sr31_std,rural,48.49052171926
AFR,2055,comm_sr31_std,urban,46.73091349344
AFR,2060,comm_s1,rural,81.19631078261999
AFR,2060,comm_s1,urban,11.96772751319
AFR,2060,comm_s2,rural,140.32582732624002
AFR,2060,comm_s2,urban,70.21447694457
AFR,2060,comm_s3,rural,197.66638354895
AFR,2060,comm_s3,urban,190.43725676123
AFR,2060,comm_s51_std,rural,4117.97567497648
AFR,2060,comm_s51_std,urban,6740.335414485581
AFR,2060,comm_sr11_std,rural,20.77893386361
AFR,2060,comm_sr11_std,urban,3.0626590802499996
AFR,2060,comm_sr21_std,rural,35.91075822594
AFR,2060,comm_sr21_std,urban,17.96857466342
AFR,2060,comm_sr31_std,rural,50.58477006209
AFR,2060,comm_sr31_std,urban,48.734765475239996
AFR,2070,comm_s1,rural,75.38300433849
AFR,2070,comm_s1,urban,11.11088972332
AFR,2070,comm_s2,rural,124.04567871758002
AFR,2070,comm_s2,urban,61.73970948774
AFR,2070,comm_s3,rural,165.80823367149
AFR,2070,comm_s3,urban,159.48903829345
AFR,2070,comm_s51_std,rural,6467.6280421818
AFR,2070,comm_s51_std,urban,11998.860773068198
AFR,2070,comm_sr11_std,rural,24.27410719243
AFR,2070,comm_sr11_std,urban,3.57782142702
AFR,2070,comm_sr21_std,rural,39.943991730730005
AFR,2070,comm_sr21_std,urban,19.88082511802
AFR,2070,comm_sr31_std,rural,53.391966436749996
AFR,2070,comm_sr31_std,urban,51.35712015667001
AFR,2080,comm_s1,rural,70.57952292940999
AFR,2080,comm_s1,urban,10.40289257337
AFR,2080,comm_s2,rural,111.68917764653
AFR,2080,comm_s2,urban,55.33197674484
AFR,2080,comm_s3,rural,141.18045110925001
AFR,2080,comm_s3,urban,135.46813399869
AFR,2080,comm_s51_std,rural,8482.73390540724
AFR,2080,comm_s51_std,urban,17887.66181157548
AFR,2080,comm_sr11_std,rural,27.63822382719
AFR,2080,comm_sr11_std,urban,4.07366699958
AFR,2080,comm_sr21_std,rural,43.736346786309994
AFR,2080,comm_sr21_std,urban,21.667439713440004
AFR,2080,comm_sr31_std,rural,55.28482973291
AFR,2080,comm_sr31_std,urban,53.047944411269995
AFR,2090,comm_s1,rural,66.46346520222998
AFR,2090,comm_s1,urban,9.79621652082
AFR,2090,comm_s2,rural,102.14788085512001
AFR,2090,comm_s2,urban,50.41587082816
AFR,2090,comm_s3,rural,122.54645753346001
AFR,2090,comm_s3,urban,117.26220067518
AFR,2090,comm_s51_std,rural,9264.80764198655
AFR,2090,comm_s51_std,urban,22163.80060694269
AFR,2090,comm_sr11_std,rural,30.894306016740003
AFR,2090,comm_sr11_std,urban,4.55358910476
AFR,2090,comm_sr21_std,rural,47.48154313785
AFR,2090,comm_sr21_std,urban,23.434880151690002
AFR,2090,comm_sr31_std,rural,56.96344222766001
AFR,2090,comm_sr31_std,urban,54.507153679880005
AFR,2100,comm_s1,rural,62.81370218244
AFR,2100,comm_s1,urban,9.259230780329998
AFR,2100,comm_s2,rural,94.56711355194
AFR,2100,comm_s2,urban,46.54849529556999
AFR,2100,comm_s3,rural,108.52521753370002
AFR,2100,comm_s3,urban,103.57014831861
AFR,2100,comm_s51_std,rural,9041.50778085806
AFR,2100,comm_s51_std,urban,24420.3443804395
AFR,2100,comm_sr11_std,rural,34.040491208060004
AFR,2100,comm_sr11_std,urban,5.01783453344
AFR,2100,comm_sr21_std,rural,51.248547459929995
AFR,2100,comm_sr21_std,urban,25.225923482010003
AFR,2100,comm_sr31_std,rural,58.812831992780005
AFR,2100,comm_sr31_std,urban,56.12754225236
