region,year,arch,urt,floor_Mm2
AFR,2020,inf_ns,urban,2026.0805002004668
AFR,2020,mfh_s1,rural,27.833672766076244
AFR,2020,mfh_s1,urban,13.930664959770652
AFR,2020,mfh_s2,rural,61.29734449393811
AFR,2020,mfh_s2,urban,92.42975903008106
AFR,2020,mfh_s3,rural,84.77618106065728
AFR,2020,mfh_s3,urban,236.30037018420157
AFR,2020,mfh_s51_std,rural,18.92976969874934
AFR,2020,mfh_s51_std,urban,83.46034880723806
AFR,2020,mfh_sr11_std,rural,0.0242344376828777
AFR,2020,mfh_sr11_std,urban,0.0895346659111488
AFR,2020,mfh_sr21_std,rural,0.0750858367362252
AFR,2020,mfh_sr21_std,urban,0.4459071121336794
AFR,2020,mfh_sr31_std,rural,0.0625534150382857
AFR,2020,mfh_sr31_std,urban,0.8850223842923312
AFR,2020,sfh_s1,rural,1057.4369580620214
AFR,2020,sfh_s1,urban,116.72620154952494
AFR,2020,sfh_s2,rural,2327.7288325066347
AFR,2020,sfh_s2,urban,776.0035323538018
AFR,2020,sfh_s3,rural,3221.1913004044586
AFR,2020,sfh_s3,urban,1986.3412545706199
AFR,2020,sfh_s51_std,rural,720.8465573477184
AFR,2020,sfh_s51_std,urban,705.8525142943847
AFR,2020,sfh_sr11_std,rural,3.399810744029209
AFR,2020,sfh_sr11_std,urban,1.900288581481052
AFR,2020,sfh_sr21_std,rural,9.350193344408968
AFR,2020,sfh_sr21_std,urban,9.719846067767376
AFR,2020,sfh_sr31_std,rural,9.491044857263738
AFR,2020,sfh_sr31_std,urban,19.62868715994202
AFR,2025,inf_ns,urban,2245.786455195419
AFR,2025,mfh_s1,rural,31.328262999811926
AFR,2025,mfh_s1,urban,14.37522939031835
AFR,2025,mfh_s2,rural,67.50964232904624
AFR,2025,mfh_s2,urban,95.85118541325517
AFR,2025,mfh_s3,rural,96.61328099691184
AFR,2025,mfh_s3,urban,254.69301562282283
AFR,2025,mfh_s51_std,rural,44.54943765734136
AFR,2025,mfh_s51_std,urban,206.21891412557898
AFR,2025,mfh_sr11_std,rural,0.0358735770259964
AFR,2025,mfh_sr11_std,urban,0.1613125459130822
AFR,2025,mfh_sr21_std,rural,0.1093245054965031
AFR,2025,mfh_sr21_std,urban,0.7906801658002611
AFR,2025,mfh_sr31_std,rural,0.0918317228699089
AFR,2025,mfh_sr31_std,urban,1.6535772895141634
AFR,2025,sfh_s1,rural,1187.5666435853625
AFR,2025,sfh_s1,urban,120.19928532580428
AFR,2025,sfh_s2,rural,2557.6104203527193
AFR,2025,sfh_s2,urban,803.3061974466715
AFR,2025,sfh_s3,rural,3664.8606958310306
AFR,2025,sfh_s3,urban,2137.239172955643
AFR,2025,sfh_s51_std,rural,1696.450770350792
AFR,2025,sfh_s51_std,urban,1744.8133322093913
AFR,2025,sfh_s52_low,rural,4.544910195103818e-05
AFR,2025,sfh_s52_low,urban,0.0022787718930214
AFR,2025,sfh_sr11_std,rural,6.7883039860074055
AFR,2025,sfh_sr11_std,urban,2.80083841134992
AFR,2025,sfh_sr21_std,rural,17.33843469249465
AFR,2025,sfh_sr21_std,urban,14.295846724890524
AFR,2025,sfh_sr31_std,rural,17.696597397437298
AFR,2025,sfh_sr31_std,urban,30.79362649612525
AFR,2030,inf_ns,urban,2170.433855661223
AFR,2030,mfh_s1,rural,34.497520751895294
AFR,2030,mfh_s1,urban,14.732388136323538
AFR,2030,mfh_s2,rural,72.49025953646048
AFR,2030,mfh_s2,urban,97.5894579458396
AFR,2030,mfh_s3,rural,106.24941442354226
AFR,2030,mfh_s3,urban,266.6957883873099
AFR,2030,mfh_s51_std,rural,75.60863844774644
AFR,2030,mfh_s51_std,urban,456.6513415143831
AFR,2030,mfh_s52_low,rural,0.0023936175564155545
AFR,2030,mfh_s52_low,urban,0.0207565907950009
AFR,2030,mfh_sr11_std,rural,0.0428196206551948
AFR,2030,mfh_sr11_std,urban,0.1818265127428844
AFR,2030,mfh_sr21_std,rural,0.1276991965458695
AFR,2030,mfh_sr21_std,urban,0.8722148322171649
AFR,2030,mfh_sr31_std,rural,0.1094609555350403
AFR,2030,mfh_sr31_std,urban,1.8687638926622612
AFR,2030,sfh_s1,rural,1306.1317954361411
AFR,2030,sfh_s1,urban,122.52916396736575
AFR,2030,sfh_s2,rural,2742.50478461151
AFR,2030,sfh_s2,urban,814.5049601172693
AFR,2030,sfh_s3,rural,4026.056357650259
AFR,2030,sfh_s3,urban,2229.8349174700065
AFR,2030,sfh_s51_std,rural,2879.1189991664405
AFR,2030,sfh_s51_std,urban,3861.777274117113
AFR,2030,sfh_s52_low,rural,0.1657962265642444
AFR,2030,sfh_s52_low,urban,0.8326224010504976
AFR,2030,sfh_sr11_std,rural,9.173866361885494
AFR,2030,sfh_sr11_std,urban,3.666887172209702
AFR,2030,sfh_sr21_std,rural,22.807055715676302
AFR,2030,sfh_sr21_std,urban,18.50262195347792
AFR,2030,sfh_sr31_std,rural,24.118871078144743
AFR,2030,sfh_sr31_std,urban,41.557886579633255
AFR,2035,inf_ns,urban,2214.8335069463087
AFR,2035,mfh_s1,rural,37.36136858070751
AFR,2035,mfh_s1,urban,14.910924300644377
AFR,2035,mfh_s2,rural,76.33894492131111
AFR,2035,mfh_s2,urban,97.37637729585019
AFR,2035,mfh_s3,rural,113.52682250099352
AFR,2035,mfh_s3,urban,271.13402362200225
AFR,2035,mfh_s51_std,rural,110.5498484343658
AFR,2035,mfh_s51_std,urban,659.5365464465668
AFR,2035,mfh_s52_low,rural,0.005127480968659289
AFR,2035,mfh_s52_low,urban,0.038709724141506696
AFR,2035,mfh_sr11_std,rural,0.0569804571180981
AFR,2035,mfh_sr11_std,urban,0.2299245729266607
AFR,2035,mfh_sr21_std,rural,0.1655631473108048
AFR,2035,mfh_sr21_std,urban,1.0749130858513944
AFR,2035,mfh_sr31_std,rural,0.1429883845367476
AFR,2035,mfh_sr31_std,urban,2.333398196883206
AFR,2035,sfh_s1,rural,1411.3535617397192
AFR,2035,sfh_s1,urban,123.53980968081662
AFR,2035,sfh_s2,rural,2881.2933799633706
AFR,2035,sfh_s2,urban,810.2418777802568
AFR,2035,sfh_s3,rural,4292.058325123271
AFR,2035,sfh_s3,urban,2260.5216326725563
AFR,2035,sfh_s51_std,rural,4209.605146988164
AFR,2035,sfh_s51_std,urban,5577.164622546321
AFR,2035,sfh_s52_low,rural,0.35061009006335864
AFR,2035,sfh_s52_low,urban,1.4923606064098083
AFR,2035,sfh_sr11_std,rural,13.547461226096573
AFR,2035,sfh_sr11_std,urban,4.57731037218701
AFR,2035,sfh_sr21_std,rural,32.01932777341391
AFR,2035,sfh_sr21_std,urban,22.690395235054112
AFR,2035,sfh_sr31_std,rural,36.519339400317456
AFR,2035,sfh_sr31_std,urban,52.34593326415611
AFR,2040,inf_ns,urban,2107.6373901723714
AFR,2040,mfh_s1,rural,39.956405326385415
AFR,2040,mfh_s1,urban,15.072230837121248
AFR,2040,mfh_s2,rural,79.24450023228223
AFR,2040,mfh_s2,urban,96.63299856670443
AFR,2040,mfh_s3,rural,118.52286740962091
AFR,2040,mfh_s3,urban,272.00388823642766
AFR,2040,mfh_s51_std,rural,147.5485573487934
AFR,2040,mfh_s51_std,urban,1022.0319881750697
AFR,2040,mfh_s52_low,rural,0.008151363489442233
AFR,2040,mfh_s52_low,urban,0.0691394954975508
AFR,2040,mfh_sr11_std,rural,0.070830978163499
AFR,2040,mfh_sr11_std,urban,0.295875884581184
AFR,2040,mfh_sr21_std,rural,0.1998067012379255
AFR,2040,mfh_sr21_std,urban,1.3443249112441935
AFR,2040,mfh_sr31_std,rural,0.1733862604862302
AFR,2040,mfh_sr31_std,urban,2.8033132492834447
AFR,2040,sfh_s1,rural,1506.0209252107043
AFR,2040,sfh_s1,urban,124.64512864012114
AFR,2040,sfh_s2,rural,2984.147909872502
AFR,2040,sfh_s2,urban,802.6667010111046
AFR,2040,sfh_s3,rural,4470.737090256744
AFR,2040,sfh_s3,urban,2262.917630198279
AFR,2040,sfh_s51_std,rural,5618.407991148341
AFR,2040,sfh_s51_std,urban,8642.230819008893
AFR,2040,sfh_s52_low,rural,0.5777870330567005
AFR,2040,sfh_s52_low,urban,2.4209064344965565
AFR,2040,sfh_sr11_std,rural,18.227242553503768
