node_loc,technology,year_act,value,unit,mode,time
R12_AFR,energy_bulk_carrier,2025,3328117692.05024,Mt-km,AFR-CHN,year
R12_AFR,energy_bulk_carrier,2025,20246393.039049,Mt-km,AFR-EEU,year
R12_AFR,energy_bulk_carrier,2025,5172504.830484,Mt-km,AFR-FSU,year
R12_AFR,energy_bulk_carrier,2025,10118969143.212908,Mt-km,AFR-LAM,year
R12_AFR,energy_bulk_carrier,2025,788519162.452204,Mt-km,AFR-MEA,year
R12_AFR,energy_bulk_carrier,2025,137034586.700633,Mt-km,AFR-NAM,year
R12_AFR,energy_bulk_carrier,2025,88727833.963488,Mt-km,AFR-PAO,year
R12_AFR,energy_bulk_carrier,2025,26039612680.870304,Mt-km,AFR-PAS,year
R12_AFR,energy_bulk_carrier,2025,600440.454949,Mt-km,AFR-RCPA,year
R12_AFR,energy_bulk_carrier,2025,5105530062.408586,Mt-km,AFR-SAS,year
R12_AFR,energy_bulk_carrier,2025,4014302926.766678,Mt-km,AFR-WEU,year
R12_CHN,energy_bulk_carrier,2025,415483158.432034,Mt-km,CHN-AFR,year
R12_CHN,energy_bulk_carrier,2025,1370600433.491322,Mt-km,CHN-FSU,year
R12_CHN,energy_bulk_carrier,2025,9255626389.1855,Mt-km,CHN-LAM,year
R12_CHN,energy_bulk_carrier,2025,178623082.703061,Mt-km,CHN-MEA,year
R12_CHN,energy_bulk_carrier,2025,6316660041.298092,Mt-km,CHN-NAM,year
R12_CHN,energy_bulk_carrier,2025,485399499811.0088,Mt-km,CHN-PAO,year
R12_CHN,energy_bulk_carrier,2025,202881481212.44055,Mt-km,CHN-PAS,year
R12_CHN,energy_bulk_carrier,2025,68610017.190619,Mt-km,CHN-RCPA,year
R12_CHN,energy_bulk_carrier,2025,120948560.943796,Mt-km,CHN-SAS,year
R12_CHN,energy_bulk_carrier,2025,8154184.053804,Mt-km,CHN-WEU,year
R12_EEU,energy_bulk_carrier,2025,4801407.165842,Mt-km,EEU-AFR,year
R12_EEU,energy_bulk_carrier,2025,6745.944993,Mt-km,EEU-CHN,year
R12_EEU,energy_bulk_carrier,2025,50230395.206001,Mt-km,EEU-FSU,year
R12_EEU,energy_bulk_carrier,2025,45135118.98702,Mt-km,EEU-LAM,year
R12_EEU,energy_bulk_carrier,2025,119491765.832259,Mt-km,EEU-MEA,year
R12_EEU,energy_bulk_carrier,2025,11836305.179556,Mt-km,EEU-NAM,year
R12_EEU,energy_bulk_carrier,2025,729896.624775,Mt-km,EEU-PAS,year
R12_EEU,energy_bulk_carrier,2025,2629.205712,Mt-km,EEU-SAS,year
R12_EEU,energy_bulk_carrier,2025,1680130264.600331,Mt-km,EEU-WEU,year
R12_FSU,energy_bulk_carrier,2025,17814197.94113,Mt-km,FSU-AFR,year
R12_FSU,energy_bulk_carrier,2025,413643411.417234,Mt-km,FSU-CHN,year
R12_FSU,energy_bulk_carrier,2025,22434659.973264,Mt-km,FSU-EEU,year
R12_FSU,energy_bulk_carrier,2025,857033856.890652,Mt-km,FSU-LAM,year
R12_FSU,energy_bulk_carrier,2025,1597801566.801209,Mt-km,FSU-MEA,year
R12_FSU,energy_bulk_carrier,2025,334715944.805424,Mt-km,FSU-NAM,year
R12_FSU,energy_bulk_carrier,2025,240980335.44108,Mt-km,FSU-PAO,year
R12_FSU,energy_bulk_carrier,2025,1366929891.358612,Mt-km,FSU-PAS,year
R12_FSU,energy_bulk_carrier,2025,1967636.667404,Mt-km,FSU-RCPA,year
R12_FSU,energy_bulk_carrier,2025,14594437.15598,Mt-km,FSU-SAS,year
R12_FSU,energy_bulk_carrier,2025,8306531202.618402,Mt-km,FSU-WEU,year
R12_LAM,energy_bulk_carrier,2025,4224430205.545704,Mt-km,LAM-AFR,year
R12_LAM,energy_bulk_carrier,2025,51364217158.19517,Mt-km,LAM-CHN,year
R12_LAM,energy_bulk_carrier,2025,25884513.039084,Mt-km,LAM-EEU,year
R12_LAM,energy_bulk_carrier,2025,62780266.501022,Mt-km,LAM-FSU,year
R12_LAM,energy_bulk_carrier,2025,4575294247.484792,Mt-km,LAM-MEA,year
R12_LAM,energy_bulk_carrier,2025,19034121225.836678,Mt-km,LAM-NAM,year
R12_LAM,energy_bulk_carrier,2025,3376484119.659771,Mt-km,LAM-PAO,year
R12_LAM,energy_bulk_carrier,2025,141924195505.62894,Mt-km,LAM-PAS,year
R12_LAM,energy_bulk_carrier,2025,5221108.316095,Mt-km,LAM-RCPA,year
R12_LAM,energy_bulk_carrier,2025,180239535.346132,Mt-km,LAM-SAS,year
R12_LAM,energy_bulk_carrier,2025,39168605674.5548,Mt-km,LAM-WEU,year
R12_MEA,energy_bulk_carrier,2025,2480169108.317256,Mt-km,MEA-AFR,year
R12_MEA,energy_bulk_carrier,2025,1518573337.558246,Mt-km,MEA-CHN,year
R12_MEA,energy_bulk_carrier,2025,91832941.485392,Mt-km,MEA-EEU,year
R12_MEA,energy_bulk_carrier,2025,803217688.49959,Mt-km,MEA-FSU,year
R12_MEA,energy_bulk_carrier,2025,4289534903.535616,Mt-km,MEA-LAM,year
R12_MEA,energy_bulk_carrier,2025,335951595.259704,Mt-km,MEA-NAM,year
R12_MEA,energy_bulk_carrier,2025,79156746.358528,Mt-km,MEA-PAO,year
R12_MEA,energy_bulk_carrier,2025,11980486566.0025,Mt-km,MEA-PAS,year
R12_MEA,energy_bulk_carrier,2025,1658664.658974,Mt-km,MEA-RCPA,year
R12_MEA,energy_bulk_carrier,2025,12402463657.934273,Mt-km,MEA-SAS,year
R12_MEA,energy_bulk_carrier,2025,13152201610.323017,Mt-km,MEA-WEU,year
