node_origin,node_loc,technology,year_vtg,year_act,mode,commodity,level,value,time,time_origin,unit
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-RCPA,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-CHN,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-EEU,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-FSU,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-LAM,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-MEA,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-NAM,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-PAO,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-PAS,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-SAS,fueloil,,5.976545551660282e-08,year,year,GWa
R12_AFR,R12_AFR,energy_bulk_carrier_foil,broadcast,broadcast,AFR-WEU,fueloil,,5.976545551660282e-08,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-AFR,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-CHN,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-EEU,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-FSU,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-LAM,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-MEA,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-NAM,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-PAO,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-PAS,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-SAS,fueloil,,6.382108844699875e-07,year,year,GWa
R12_RCPA,R12_RCPA,energy_bulk_carrier_foil,broadcast,broadcast,RCPA-WEU,fueloil,,6.382108844699875e-07,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-AFR,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-RCPA,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-EEU,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-FSU,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-LAM,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-MEA,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-NAM,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-PAO,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-PAS,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-SAS,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_CHN,R12_CHN,energy_bulk_carrier_foil,broadcast,broadcast,CHN-WEU,fueloil,,3.1304726401580054e-08,year,year,GWa
R12_EEU,R12_EEU,energy_bulk_carrier_foil,broadcast,broadcast,EEU-AFR,fueloil,,8.988215096154121e-07,year,year,GWa
R12_EEU,R12_EEU,energy_bulk_carrier_foil,broadcast,broadcast,EEU-RCPA,fueloil,,8.988215096154121e-07,year,year,GWa
R12_EEU,R12_EEU,energy_bulk_carrier_foil,broadcast,broadcast,EEU-CHN,fueloil,,8.988215096154121e-07,year,year,GWa
R12_EEU,R12_EEU,energy_bulk_carrier_foil,broadcast,broadcast,EEU-FSU,fueloil,,8.988215096154121e-07,year,year,GWa
R12_EEU,R12_EEU,energy_bulk_carrier_foil,broadcast,broadcast,EEU-LAM,fueloil,,8.988215096154121e-07,year,year,GWa
