"","iso","rcp","ssp","year","GDPcapNoCC","GDPcapCC","pct.diff"
"1","AFG","rcp26","ssp2",2025,415.62,415.55,-0.02
"2","AFG","rcp26","ssp2",2030,487.99,487.83,-0.03
"3","AFG","rcp26","ssp2",2035,582.21,581.86,-0.06
"4","AFG","rcp26","ssp2",2040,705.17,704.46,-0.1
"5","AFG","rcp26","ssp2",2045,863.25,861.91,-0.16
"6","AFG","rcp26","ssp2",2050,1063.01,1060.51,-0.24
"7","AFG","rcp26","ssp2",2055,1311.34,1307.24,-0.31
"8","AFG","rcp26","ssp2",2060,1617.6,1610.79,-0.42
"9","AFG","rcp26","ssp2",2070,2455.15,2436.63,-0.75
"10","AFG","rcp26","ssp2",2080,3675.49,3630.77,-1.22
"11","AFG","rcp26","ssp2",2090,5378.15,5276.85,-1.88
"12","AFG","rcp26","ssp2",2100,7696.63,7487.2,-2.72
"13","AGO","rcp26","ssp2",2025,2420.87,2393.49,-1.13
"14","AGO","rcp26","ssp2",2030,2326.66,2280.42,-1.99
"15","AGO","rcp26","ssp2",2035,2258.35,2188.97,-3.07
"16","AGO","rcp26","ssp2",2040,2304.11,2203.48,-4.37
"17","AGO","rcp26","ssp2",2045,2486.43,2340.76,-5.86
"18","AGO","rcp26","ssp2",2050,2807.79,2596.02,-7.54
"19","AGO","rcp26","ssp2",2055,3267.92,2960.58,-9.4
"20","AGO","rcp26","ssp2",2060,3872.38,3429.54,-11.44
"21","AGO","rcp26","ssp2",2070,5545.11,4659.76,-15.97
"22","AGO","rcp26","ssp2",2080,7867.37,6211.42,-21.05
"23","AGO","rcp26","ssp2",2090,10877.7,7987.92,-26.57
"24","AGO","rcp26","ssp2",2100,14698.95,9933.77,-32.42
"25","ALB","rcp26","ssp2",2025,3997.66,3993.06,-0.12
"26","ALB","rcp26","ssp2",2030,4476.06,4466.71,-0.21
"27","ALB","rcp26","ssp2",2035,4999.46,4982.93,-0.33
"28","ALB","rcp26","ssp2",2040,5574.41,5547.66,-0.48
"29","ALB","rcp26","ssp2",2045,6180.95,6139.5,-0.67
"30","ALB","rcp26","ssp2",2050,6814.51,6753.24,-0.9
"31","ALB","rcp26","ssp2",2055,7494.16,7406.66,-1.17
"32","ALB","rcp26","ssp2",2060,8229.48,8108.23,-1.47
"33","ALB","rcp26","ssp2",2070,9868.36,9652.63,-2.19
"34","ALB","rcp26","ssp2",2080,11769.62,11406.53,-3.08
"35","ALB","rcp26","ssp2",2090,13847.33,13259.17,-4.25
