Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP,SSP2,ABW,Population,million,0.107,0.118,0.125,0.132,0.138,0.143,0.148,0.152,0.156,0.159,0.162,0.164,0.165,0.165,0.164,0.161,0.159,0.155,0.151
IIASA-WiC POP,SSP2,AFG,Population,million,31.412,35.754,40.602,45.942,51.689,57.639,63.599,69.469,75.162,80.643,85.822,90.688,95.121,99.193,102.899,106.176,108.980,111.263,113.086
IIASA-WiC POP,SSP2,AGO,Population,million,19.082,22.013,25.239,28.561,31.855,35.045,38.164,41.145,43.976,46.546,48.856,50.867,52.598,53.997,55.142,56.030,56.598,56.881,56.892
IIASA-WiC POP,SSP2,ALB,Population,million,3.204,3.240,3.271,3.292,3.301,3.294,3.274,3.243,3.201,3.152,3.095,3.025,2.942,2.846,2.741,2.632,2.524,2.418,2.319
IIASA-WiC POP,SSP2,ARE,Population,million,7.512,9.743,11.043,12.244,13.359,14.399,15.357,16.200,16.915,17.501,17.963,18.230,18.299,18.197,17.970,17.657,17.282,16.842,16.327
IIASA-WiC POP,SSP2,ARG,Population,million,40.412,42.045,43.570,44.939,46.155,47.219,48.142,48.854,49.377,49.702,49.834,49.830,49.664,49.350,48.902,48.392,47.830,47.222,46.575
IIASA-WiC POP,SSP2,ARM,Population,million,3.092,3.078,3.038,2.982,2.922,2.856,2.780,2.692,2.594,2.492,2.392,2.297,2.206,2.116,2.028,1.947,1.876,1.817,1.768
IIASA-WiC POP,SSP2,AUS,Population,million,22.268,24.140,25.987,27.821,29.562,31.227,32.858,34.466,36.033,37.529,38.929,40.125,41.124,41.931,42.531,42.915,43.055,42.930,42.577
IIASA-WiC POP,SSP2,AUT,Population,million,8.394,8.556,8.696,8.831,8.946,9.037,9.110,9.171,9.214,9.228,9.214,9.158,9.077,8.977,8.858,8.717,8.555,8.367,8.148
IIASA-WiC POP,SSP2,AZE,Population,million,9.188,9.705,10.132,10.424,10.628,10.796,10.930,10.998,10.993,10.930,10.840,10.723,10.570,10.375,10.153,9.926,9.713,9.508,9.292
IIASA-WiC POP,SSP2,BDI,Population,million,8.382,9.642,10.892,12.037,13.086,14.086,15.056,15.974,16.810,17.531,18.126,18.579,18.938,19.188,19.324,19.353,19.289,19.149,18.918
IIASA-WiC POP,SSP2,BEL,Population,million,10.712,11.005,11.270,11.530,11.775,12.005,12.222,12.420,12.596,12.749,12.885,12.989,13.069,13.126,13.156,13.156,13.123,13.053,12.924
IIASA-WiC POP,SSP2,BEN,Population,million,8.850,10.145,11.514,12.900,14.254,15.571,16.850,18.076,19.214,20.233,21.150,21.967,22.670,23.271,23.736,24.064,24.272,24.370,24.385
IIASA-WiC POP,SSP2,BFA,Population,million,16.469,18.924,21.567,24.375,27.291,30.230,33.135,35.925,38.602,41.115,43.420,45.519,47.468,49.220,50.807,52.215,53.431,54.470,55.325
IIASA-WiC POP,SSP2,BGD,Population,million,148.692,157.346,166.226,174.289,181.146,186.736,191.092,194.105,195.777,196.105,195.149,193.239,190.649,187.485,183.858,179.896,175.754,171.589,167.490
IIASA-WiC POP,SSP2,BGR,Population,million,7.494,7.267,7.068,6.900,6.754,6.624,6.510,6.406,6.308,6.214,6.121,6.012,5.891,5.760,5.623,5.485,5.347,5.207,5.062
IIASA-WiC POP,SSP2,BHR,Population,million,1.262,1.634,1.883,2.120,2.349,2.573,2.796,3.011,3.207,3.381,3.530,3.652,3.751,3.825,3.873,3.897,3.900,3.885,3.848
IIASA-WiC POP,SSP2,BHS,Population,million,0.343,0.366,0.387,0.407,0.426,0.442,0.456,0.468,0.478,0.487,0.493,0.497,0.497,0.495,0.491,0.486,0.479,0.471,0.462
IIASA-WiC POP,SSP2,BIH,Population,million,3.760,3.745,3.718,3.681,3.633,3.570,3.492,3.401,3.301,3.195,3.087,2.972,2.852,2.729,2.608,2.493,2.385,2.286,2.194
IIASA-WiC POP,SSP2,BLR,Population,million,9.595,9.431,9.270,9.098,8.915,8.735,8.562,8.389,8.206,8.012,7.813,7.607,7.399,7.191,6.983,6.780,6.587,6.406,6.232
IIASA-WiC POP,SSP2,BLZ,Population,million,0.312,0.340,0.365,0.386,0.403,0.418,0.431,0.440,0.448,0.453,0.456,0.457,0.458,0.457,0.456,0.454,0.452,0.450,0.449
IIASA-WiC POP,SSP2,BOL,Population,million,9.930,10.647,11.340,12.001,12.603,13.130,13.585,13.963,14.271,14.495,14.646,14.745,14.803,14.819,14.790,14.731,14.654,14.567,14.468
IIASA-WiC POP,SSP2,BRA,Population,million,194.946,203.150,210.743,217.420,222.819,226.941,229.841,231.531,231.868,230.802,228.665,225.548,221.581,216.853,211.583,205.939,200.123,194.262,188.415
IIASA-WiC POP,SSP2,BRB,Population,million,0.273,0.276,0.279,0.280,0.281,0.280,0.277,0.273,0.268,0.261,0.255,0.248,0.241,0.233,0.226,0.218,0.210,0.202,0.195
IIASA-WiC POP,SSP2,BRN,Population,million,0.399,0.433,0.466,0.498,0.527,0.555,0.580,0.604,0.627,0.647,0.664,0.676,0.683,0.685,0.683,0.678,0.671,0.660,0.648
IIASA-WiC POP,SSP2,BTN,Population,million,0.726,0.797,0.869,0.939,1.006,1.069,1.129,1.186,1.239,1.284,1.321,1.347,1.364,1.372,1.371,1.362,1.347,1.328,1.305
IIASA-WiC POP,SSP2,BWA,Population,million,2.007,2.130,2.242,2.340,2.428,2.511,2.589,2.663,2.736,2.805,2.872,2.923,2.954,2.964,2.957,2.931,2.890,2.834,2.762
IIASA-WiC POP,SSP2,CAF,Population,million,4.401,4.818,5.259,5.686,6.097,6.479,6.834,7.147,7.414,7.642,7.825,7.960,8.052,8.099,8.111,8.092,8.042,7.973,7.886
IIASA-WiC POP,SSP2,CAN,Population,million,34.017,35.858,37.764,39.641,41.384,42.992,44.540,46.068,47.585,49.053,50.465,51.700,52.762,53.647,54.322,54.757,54.945,54.831,54.424
IIASA-WiC POP,SSP2,CHE,Population,million,7.664,7.900,8.101,8.312,8.519,8.709,8.879,9.033,9.172,9.289,9.384,9.440,9.467,9.470,9.450,9.407,9.322,9.197,9.041
IIASA-WiC POP,SSP2,CHL,Population,million,17.114,17.870,18.567,19.181,19.686,20.071,20.338,20.495,20.534,20.489,20.369,20.175,19.917,19.602,19.232,18.812,18.354,17.877,17.371
IIASA-WiC POP,SSP2,CHN,Population,million,1341.335,1363.420,1379.229,1385.145,1380.651,1365.275,1339.587,1305.120,1263.138,1215.403,1163.794,1110.444,1057.146,1004.276,951.828,900.636,852.319,807.864,767.275
IIASA-WiC POP,SSP2,CIV,Population,million,19.738,21.463,23.152,24.710,26.179,27.548,28.757,29.772,30.619,31.283,31.801,32.237,32.563,32.788,32.912,32.935,32.904,32.797,32.655
IIASA-WiC POP,SSP2,CMR,Population,million,19.599,21.659,23.654,25.516,27.315,29.037,30.621,31.978,33.156,34.164,34.971,35.597,36.069,36.409,36.583,36.602,36.470,36.252,35.925
