"","iso","rcp","ssp","year","GDPcapNoCC","GDPcapCC","pct.diff"
"1","AFG","rcp60","ssp2",2025,415.62,415.56,NA
"2","AFG","rcp60","ssp2",2030,487.99,487.84,NA
"3","AFG","rcp60","ssp2",2035,582.21,581.88,NA
"4","AFG","rcp60","ssp2",2040,705.17,704.5,NA
"5","AFG","rcp60","ssp2",2045,863.25,861.99,NA
"6","AFG","rcp60","ssp2",2050,1063.01,1060.69,NA
"7","AFG","rcp60","ssp2",2055,1311.34,1307.41,NA
"8","AFG","rcp60","ssp2",2060,1617.6,1611.2,NA
"9","AFG","rcp60","ssp2",2070,2455.15,2437.87,NA
"10","AFG","rcp60","ssp2",2080,3675.49,3633.44,NA
"11","AFG","rcp60","ssp2",2090,5378.15,5284.31,NA
"12","AFG","rcp60","ssp2",2100,7696.63,7502.1,NA
"13","AGO","rcp60","ssp2",2025,2420.87,2394.89,NA
"14","AGO","rcp60","ssp2",2030,2326.66,2282.77,NA
"15","AGO","rcp60","ssp2",2035,2258.35,2192.5,NA
"16","AGO","rcp60","ssp2",2040,2304.11,2208.58,NA
"17","AGO","rcp60","ssp2",2045,2486.43,2348.09,NA
"18","AGO","rcp60","ssp2",2050,2807.79,2606.67,NA
"19","AGO","rcp60","ssp2",2055,3267.92,2975.86,NA
"20","AGO","rcp60","ssp2",2060,3872.38,3451.27,NA
"21","AGO","rcp60","ssp2",2070,5545.11,4702.24,NA
"22","AGO","rcp60","ssp2",2080,7867.37,6288.8,NA
"23","AGO","rcp60","ssp2",2090,10877.7,8118.5,NA
"24","AGO","rcp60","ssp2",2100,14698.95,10142.72,NA
"25","ALB","rcp60","ssp2",2025,3997.66,3993.29,NA
"26","ALB","rcp60","ssp2",2030,4476.06,4467.19,NA
"27","ALB","rcp60","ssp2",2035,4999.46,4983.77,NA
"28","ALB","rcp60","ssp2",2040,5574.41,5548.91,NA
"29","ALB","rcp60","ssp2",2045,6180.95,6141.7,NA
"30","ALB","rcp60","ssp2",2050,6814.51,6756.57,NA
"31","ALB","rcp60","ssp2",2055,7494.16,7411.45,NA
"32","ALB","rcp60","ssp2",2060,8229.48,8115.08,NA
"33","ALB","rcp60","ssp2",2070,9868.36,9663.83,NA
"34","ALB","rcp60","ssp2",2080,11769.62,11426.08,NA
"35","ALB","rcp60","ssp2",2090,13847.33,13294.98,NA
"36","ALB","rcp60","ssp2",2100,16172.96,15319.45,NA
"37","ARE","rcp60","ssp2",2025,51989.75,50979.38,NA
"38","ARE","rcp60","ssp2",2030,55970.1,54076.36,NA
"39","ARE","rcp60","ssp2",2035,59533.8,56437.31,NA
"40","ARE","rcp60","ssp2",2040,62644.31,58022.64,NA
"41","ARE","rcp60","ssp2",2045,65226.68,58776.06,NA
"42","ARE","rcp60","ssp2",2050,67702.25,59100.14,NA
"43","ARE","rcp60","ssp2",2055,70717.16,59551.12,NA
"44","ARE","rcp60","ssp2",2060,74336.21,60132.72,NA
"45","ARE","rcp60","ssp2",2070,82674.48,60925.97,NA
"46","ARE","rcp60","ssp2",2080,91418.1,60310.86,NA
"47","ARE","rcp60","ssp2",2090,99983.07,58014.62,NA
"48","ARE","rcp60","ssp2",2100,108587.8,54448.96,NA
"49","ARG","rcp60","ssp2",2025,8288.93,8257.16,NA
"50","ARG","rcp60","ssp2",2030,9344.44,9281.57,NA
"51","ARG","rcp60","ssp2",2035,10406.33,10297.67,NA
"52","ARG","rcp60","ssp2",2040,11461.96,11290.33,NA
