"","iso","rcp","ssp","year","GDPcapNoCC","GDPcapCC","pct.diff","growth.nocc","growth.cc"
"1","AFG","rcp26","ssp2",2025,415.62,415.47,-0.04,15.5623522869457,15.5334946191708
"2","AFG","rcp26","ssp2",2030,487.99,487.62,-0.08,17.4125403012367,17.3658747924038
"3","AFG","rcp26","ssp2",2035,582.21,581.35,-0.15,19.3077727002603,19.221935113408
"4","AFG","rcp26","ssp2",2040,705.17,703.51,-0.24,21.1195273183216,21.013159026404
"5","AFG","rcp26","ssp2",2045,863.25,859.98,-0.38,22.4172894479345,22.2413327458032
"6","AFG","rcp26","ssp2",2050,1063.01,1056.83,-0.58,23.1404575731248,22.8900672108654
"7","AGO","rcp26","ssp2",2025,2420.87,2377.53,-1.79,-0.355217122864791,-1.3358398486131
"8","AGO","rcp26","ssp2",2030,2326.66,2253.54,-3.14,-3.89157616889796,-5.21507615045868
"9","AGO","rcp26","ssp2",2035,2258.35,2148.8,-4.85,-2.93596829790343,-4.64779857468693
"10","AGO","rcp26","ssp2",2040,2304.11,2145.61,-6.88,2.02625810879626,-0.148454951600896
"11","AGO","rcp26","ssp2",2045,2486.43,2257.79,-9.2,7.91281666239892,5.22834997972604
"12","AGO","rcp26","ssp2",2050,2807.79,2477.06,-11.78,12.9245544817268,9.71170923779448
"13","ALB","rcp26","ssp2",2025,3997.66,3989.96,-0.19,12.5106244054555,12.3884906271566
"14","ALB","rcp26","ssp2",2030,4476.06,4460.51,-0.35,11.9670006954068,11.7933513117926
"15","ALB","rcp26","ssp2",2035,4999.46,4971.27,-0.56,11.69331957123,11.4507085512643
"16","ALB","rcp26","ssp2",2040,5574.41,5527.35,-0.84,11.5002420261388,11.185874032189
"17","ALB","rcp26","ssp2",2045,6180.95,6108.25,-1.18,10.8807927655124,10.5095570209956
"18","ALB","rcp26","ssp2",2050,6814.51,6706.94,-1.58,10.2502042566272,9.80133426104039
"19","ARE","rcp26","ssp2",2025,51989.75,50214.65,-3.41,8.70840247435649,6.67827888486165
"20","ARE","rcp26","ssp2",2030,55970.1,52657.96,-5.92,7.65602835174241,4.86573141503525
"21","ARE","rcp26","ssp2",2035,59533.8,54150.89,-9.04,6.36714960309166,2.83514591146334
"22","ARE","rcp26","ssp2",2040,62644.31,54671.22,-12.73,5.22477987294612,0.960889100807026
"23","ARE","rcp26","ssp2",2045,65226.68,54199.99,-16.91,4.12227383460685,-0.861934304740233
"24","ARE","rcp26","ssp2",2050,67702.25,53150.05,-21.49,3.79533344330878,-1.93715902899612
"25","ARG","rcp26","ssp2",2025,8288.93,8236.72,-0.63,14.0497425637949,13.6580593437497
"26","ARG","rcp26","ssp2",2030,9344.44,9240.97,-1.11,12.7339716947785,12.1923532668344
"27","ARG","rcp26","ssp2",2035,10406.33,10227.29,-1.72,11.3638698520189,10.673338404951
"28","ARG","rcp26","ssp2",2040,11461.96,11179.04,-2.47,10.1441142074103,9.30598428322654
"29","ARG","rcp26","ssp2",2045,12546.86,12126.45,-3.35,9.46522235289603,8.47487798594512
"30","ARG","rcp26","ssp2",2050,13694.85,13097.53,-4.36,9.14961990490051,8.00794956479431
"31","ARM","rcp26","ssp2",2025,2686.03,2714.25,1.05,18.2049420203754,18.8729569223762
"32","ARM","rcp26","ssp2",2030,3142,3199.7,1.84,16.9756108457463,17.8852353320438
"33","ARM","rcp26","ssp2",2035,3632.01,3735.26,2.84,15.5954805856143,16.7378191705473
