"Period from";"Period to";Row;"Row group";"Africa & Asia (ex China)";"North America";"South America";Oceania;Europe;China;"World Reported";"Estimated Unreported"
1985-01-01;1985-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;30529000.0;0.0
1985-01-01;1985-12-31;"Reporting Production (tonnes)";;1254968.0;4133012.0;2880799.0;9289367.0;3972666.0;0.0;21530812.0;8998188.0
1985-01-01;1985-12-31;Coal;"FUEL MIX";7339.0;0.0;1205.0;34435.0;2775.0;0;45754.0;0
1985-01-01;1985-12-31;Oil;"FUEL MIX";11097.0;1533.0;30895.0;31296.0;25082.0;0;99903.0;0
1985-01-01;1985-12-31;Gas;"FUEL MIX";0.0;43329.0;1.0;51922.0;11502.0;0;106754.0;0
1985-01-01;1985-12-31;Electricity;"FUEL MIX";1943.0;4933.0;3772.0;5409.0;8830.0;0;24887.0;0
1985-01-01;1985-12-31;Other;"FUEL MIX";0.0;0.0;0.0;1578.0;544.0;0;2122.0;0
1985-01-01;1985-12-31;Total;"FUEL MIX";20379.0;49795.0;35873.0;124640.0;48733.0;0;279420.0;117000.0
1986-01-01;1986-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;31009000.0;0.0
1986-01-01;1986-12-31;"Reporting Production (tonnes)";;1274299.0;3879885.0;5287120.0;9367960.0;4201137.0;0.0;24010401.0;6998599.0
1986-01-01;1986-12-31;Coal;"FUEL MIX";6854.0;0.0;1382.0;38775.0;2404.0;0;49415.0;0
1986-01-01;1986-12-31;Oil;"FUEL MIX";11414.0;653.0;39067.0;26985.0;27658.0;0;105777.0;0
1986-01-01;1986-12-31;Gas;"FUEL MIX";0.0;39292.0;10503.0;55000.0;11405.0;0;116200.0;0
1986-01-01;1986-12-31;Electricity;"FUEL MIX";1529.0;4268.0;3430.0;1282.0;8955.0;0;19464.0;0
1986-01-01;1986-12-31;Other;"FUEL MIX";0.0;451.0;0.0;28.0;522.0;0;1001.0;0
1986-01-01;1986-12-31;Total;"FUEL MIX";19797.0;44664.0;54382.0;122070.0;50944.0;0;291857.0;86000.0
1987-01-01;1987-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;33119000.0;0.0
1987-01-01;1987-12-31;"Reporting Production (tonnes)";;1207022.0;4586863.0;5815450.0;10228116.0;4282569.0;0.0;26120020.0;6998980.0
1987-01-01;1987-12-31;Coal;"FUEL MIX";8106.0;0.0;2384.0;33414.0;1801.0;0;45705.0;0
1987-01-01;1987-12-31;Oil;"FUEL MIX";12137.0;1434.0;40786.0;30128.0;30627.0;0;115112.0;0
1987-01-01;1987-12-31;Gas;"FUEL MIX";0.0;54804.0;11365.0;59014.0;10616.0;0;135799.0;0
1987-01-01;1987-12-31;Electricity;"FUEL MIX";1503.0;2142.0;3416.0;6232.0;9040.0;0;22333.0;0
1987-01-01;1987-12-31;Other;"FUEL MIX";0.0;0.0;0.0;0.0;458.0;0;458.0;0
1987-01-01;1987-12-31;Total;"FUEL MIX";21746.0;58380.0;57951.0;128788.0;52542.0;0;319407.0;86000.0
1988-01-01;1988-12-31;"Alumina Production (tonnes)";;0;0;0;0;0;0;34301000.0;0.0
1988-01-01;1988-12-31;"Reporting Production (tonnes)";;1913977.0;4627693.0;5851636.0;10672488.0;4233302.0;0.0;27299096.0;7001904.0
1988-01-01;1988-12-31;Coal;"FUEL MIX";11911.0;0.0;2584.0;33801.0;669.0;0;48965.0;0
1988-01-01;1988-12-31;Oil;"FUEL MIX";15342.0;2992.0;39476.0;29979.0;31967.0;0;119756.0;0
1988-01-01;1988-12-31;Gas;"FUEL MIX";0.0;58466.0;11988.0;62067.0;9547.0;0;142068.0;0
1988-01-01;1988-12-31;Electricity;"FUEL MIX";2343.0;391.0;4358.0;6517.0;9123.0;0;22732.0;0
1988-01-01;1988-12-31;Other;"FUEL MIX";0.0;0.0;0.0;0.0;469.0;0;469.0;0
1988-01-01;1988-12-31;Total;"FUEL MIX";29596.0;61849.0;58406.0;132364.0;51775.0;0;333990.0;86000.0
