node,commodity,level,year,time,unit,value
R12_AFR,cement,demand,2025,year,t,146.68
R12_CHN,cement,demand,2025,year,t,2004.38
R12_EEU,cement,demand,2025,year,t,57.99
R12_FSU,cement,demand,2025,year,t,119.82
R12_LAM,cement,demand,2025,year,t,190.46
R12_MEA,cement,demand,2025,year,t,317.16
R12_NAM,cement,demand,2025,year,t,100.71
R12_PAO,cement,demand,2025,year,t,59.06
R12_PAS,cement,demand,2025,year,t,222.41
R12_RCPA,cement,demand,2025,year,t,94.88
R12_SAS,cement,demand,2025,year,t,553.31
R12_WEU,cement,demand,2025,year,t,222.51
