technology,parameter,region,mode,commodity,level,units,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
raw_meal_prep_cement,historical_activity,R12_RCPA,M1,,,Mt,325.5,325.5,325.5,325.5,325.5,0.0,,,,,,,,,,,,,,
raw_meal_prep_cement,historical_new_capacity,R12_RCPA,,,,Mt,13.02,13.02,13.02,13.02,13.02,0.0,,,,,,,,,,,,,,
raw_meal_prep_cement,historical_new_capacity,R12_CHN,,,,Mt,117.17999999999999,117.17999999999999,117.17999999999999,117.17999999999999,117.17999999999999,0.0,,,,,,,,,,,,,,
raw_meal_prep_cement,historical_activity,R12_CHN,M1,,,Mt,2929.5,2929.5,2929.5,2929.5,2929.5,0.0,,,,,,,,,,,,,,
clinker_dry_cement,historical_activity,R12_RCPA,M1,,,Mt,189.0,189.0,189.0,189.0,189.0,0.0,,,,,,,,,,,,,,
clinker_dry_cement,historical_new_capacity,R12_RCPA,,,,Mt,7.56,7.56,7.56,7.56,7.56,0.0,,,,,,,,,,,,,,
clinker_dry_cement,historical_new_capacity,R12_CHN,,,,Mt,68.03999999999999,68.03999999999999,68.03999999999999,68.03999999999999,68.03999999999999,0.0,,,,,,,,,,,,,,
clinker_dry_cement,historical_activity,R12_CHN,M1,,,Mt,1701.0,1701.0,1701.0,1701.0,1701.0,0.0,,,,,,,,,,,,,,
clinker_wet_cement,historical_activity,R12_RCPA,M1,,,Mt,21.0,21.0,21.0,21.0,21.0,0.0,,,,,,,,,,,,,,
clinker_wet_cement,historical_new_capacity,R12_RCPA,,,,Mt,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.0,,,,,,,,,,,,,,
clinker_wet_cement,historical_activity,R12_CHN,M1,,,Mt,189.0,189.0,189.0,189.0,189.0,0.0,,,,,,,,,,,,,,
clinker_wet_cement,historical_new_capacity,R12_CHN,,,,Mt,7.5600000000000005,7.5600000000000005,7.5600000000000005,7.5600000000000005,7.5600000000000005,0.0,,,,,,,,,,,,,,
grinding_ballmill_cement,historical_new_capacity,R12_RCPA,,,,Mt,8.842105263157896,8.842105263157896,8.842105263157896,8.842105263157896,8.842105263157896,0.0,,,,,,,,,,,,,,
grinding_ballmill_cement,historical_activity,R12_RCPA,M1,,,Mt,221.0526315789474,221.0526315789474,221.0526315789474,221.0526315789474,221.0526315789474,0.0,,,,,,,,,,,,,,
grinding_ballmill_cement,historical_activity,R12_CHN,M1,,,Mt,1989.4736842105265,1989.4736842105265,1989.4736842105265,1989.4736842105265,1989.4736842105265,0.0,,,,,,,,,,,,,,
grinding_ballmill_cement,historical_new_capacity,R12_CHN,,,,Mt,79.57894736842105,79.57894736842105,79.57894736842105,79.57894736842105,79.57894736842105,0.0,,,,,,,,,,,,,,
grinding_vertmill_cement,historical_activity,R12_RCPA,M1,,,Mt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
grinding_vertmill_cement,historical_activity,R12_CHN,M1,,,Mt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
grinding_vertmill_cement,historical_new_capacity,R12_RCPA,,,,Mt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
grinding_vertmill_cement,historical_new_capacity,R12_CHN,,,,Mt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_CHN,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_CHN,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_RCPA,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_RCPA,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_LAM,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_LAM,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_MEA,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_MEA,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_NAM,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_NAM,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_EEU,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_EEU,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_WEU,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_WEU,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_SAS,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_SAS,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_PAS,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_PAS,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_PAO,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_PAO,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_AFR,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_AFR,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_dry_ccs_cement,bound_activity_up,R12_FSU,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
clinker_wet_ccs_cement,bound_activity_up,R12_FSU,M1,,,Mt,,,,,,,0.0,0.0,,,,,,,,,,,,
DUMMY_limestone_supply_steel,var_cost,R12_RCPA,M1,,,MUSD/Mt,,,,,,100.0,105.0,110.25,115.7625,121.55062500000001,127.62815625000002,134.00956406250003,140.71004226562505,147.74554437890632,155.13282159785163,162.8894626777442,171.03393581163144,179.58563260221302,188.56491423232367,197.99315994393987
