node_loc,technology,value,year_act,mode,time,unit
R12_AFR,furnace_biomass_cement,2.0351,2020,high_temp,year,GWa
R12_AFR,furnace_coal_cement,3.0241,2020,high_temp,year,GWa
R12_AFR,furnace_foil_cement,1.4328,2020,high_temp,year,GWa
R12_AFR,furnace_gas_cement,4.1861,2020,high_temp,year,GWa
R12_CHN,furnace_biomass_cement,1.0417,2020,high_temp,year,GWa
R12_CHN,furnace_coal_cement,142.4456,2020,high_temp,year,GWa
R12_CHN,furnace_foil_cement,4.0326,2020,high_temp,year,GWa
R12_CHN,furnace_gas_cement,17.691,2020,high_temp,year,GWa
R12_EEU,furnace_biomass_cement,2.1861,2020,high_temp,year,GWa
R12_EEU,furnace_coal_cement,3.5393,2020,high_temp,year,GWa
R12_EEU,furnace_foil_cement,1.2033,2020,high_temp,year,GWa
R12_EEU,furnace_gas_cement,2.3416,2020,high_temp,year,GWa
R12_FSU,furnace_biomass_cement,0.9277,2020,high_temp,year,GWa
R12_FSU,furnace_coal_cement,3.3233,2020,high_temp,year,GWa
R12_FSU,furnace_foil_cement,0.916,2020,high_temp,year,GWa
R12_FSU,furnace_gas_cement,8.089,2020,high_temp,year,GWa
R12_LAM,furnace_biomass_cement,1.5354,2020,high_temp,year,GWa
R12_LAM,furnace_coal_cement,2.1102,2020,high_temp,year,GWa
R12_LAM,furnace_foil_cement,7.4738,2020,high_temp,year,GWa
R12_LAM,furnace_gas_cement,3.1046,2020,high_temp,year,GWa
R12_MEA,furnace_biomass_cement,1.4761,2020,high_temp,year,GWa
R12_MEA,furnace_coal_cement,1.8938,2020,high_temp,year,GWa
R12_MEA,furnace_foil_cement,4.4386,2020,high_temp,year,GWa
R12_MEA,furnace_gas_cement,18.8223,2020,high_temp,year,GWa
R12_NAM,furnace_biomass_cement,0.451,2020,high_temp,year,GWa
R12_NAM,furnace_coal_cement,3.3808,2020,high_temp,year,GWa
R12_NAM,furnace_foil_cement,0.9454,2020,high_temp,year,GWa
R12_NAM,furnace_gas_cement,6.3674,2020,high_temp,year,GWa
R12_PAO,furnace_biomass_cement,0.1619,2020,high_temp,year,GWa
R12_PAO,furnace_coal_cement,2.9309,2020,high_temp,year,GWa
R12_PAO,furnace_foil_cement,1.3918,2020,high_temp,year,GWa
R12_PAO,furnace_gas_cement,1.0432,2020,high_temp,year,GWa
R12_PAS,furnace_biomass_cement,0.4465,2020,high_temp,year,GWa
R12_PAS,furnace_coal_cement,11.4965,2020,high_temp,year,GWa
R12_PAS,furnace_foil_cement,0.9821,2020,high_temp,year,GWa
R12_PAS,furnace_gas_cement,0.7521,2020,high_temp,year,GWa
R12_RCPA,furnace_biomass_cement,0.3575,2020,high_temp,year,GWa
R12_RCPA,furnace_coal_cement,9.4214,2020,high_temp,year,GWa
R12_RCPA,furnace_foil_cement,0.3906,2020,high_temp,year,GWa
R12_RCPA,furnace_gas_cement,0.5552,2020,high_temp,year,GWa
R12_SAS,furnace_biomass_cement,0.6122,2020,high_temp,year,GWa
R12_SAS,furnace_coal_cement,20.8496,2020,high_temp,year,GWa
R12_SAS,furnace_foil_cement,8.8568,2020,high_temp,year,GWa
R12_SAS,furnace_gas_cement,0.211,2020,high_temp,year,GWa
R12_WEU,furnace_biomass_cement,5.1777,2020,high_temp,year,GWa
R12_WEU,furnace_coal_cement,8.884,2020,high_temp,year,GWa
R12_WEU,furnace_foil_cement,3.3357,2020,high_temp,year,GWa
R12_WEU,furnace_gas_cement,4.853,2020,high_temp,year,GWa
